DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	EuKCensus vs NCBI
COLOR	#555555

# census_size_count (EuKCensus) and ncbi_genome_count (NCBI) per genus
FIELD_COLORS	#FF8C00	#000000
Rhizoclosmatium_G	82	3
Rhizophagus_G	4813	41
Rhizophydiales.U.genus_ON	107	28
Rhizopus_G	969	108
Rhynchomonas_G	14	0
Ricinus_G	15	2
Rigifila_G	17	0
Rigifilida_XXXX.U.genus_ON	201	0
Ripidomyxa_G	6	0
Rotifera_XX.U.genus_ON	1652	104
Russula_G	776	32
Sabatieria_G	95	1
Saccamoeba_G	1566	0
Saccharomyces_G	969	1995
Saccharomycetales.U.genus_ON	1145	2825
Saccharomycotina.U.genus_ON	3098	6396
Salpingoecidae_Group_C1_X_ON	357	3
Sandona_G	9	0
Saprolegnia_G	126	2
Sarcocystis10_ON	608	2
Sawyeria_G	544	0
Schistosoma_G	955	26
Schizoplasmodiidae.U.genus_ON	222	0
Schizoplasmodium_G	36	0
Schizosaccharomyces_G	13	94
Scrippsiella_G	7	0
Scytomonadidae.U.genus_ON	357	0
Scytomonas_G	151	0
Sessilida.U.genus_ON	109	0
Simocephalus_G	2	1
Skeletonema_G	1	13
Smittium_G	247	7
Sordariomycetes.U.genus_ON	2392	5769
Sorghum_bicolor_S	2	26
Spadicoides_G	103	0
Spermatozopsis_G	12	0
Sphaeropleales.U.genus_ON	214	35
Sphaerozoum_G	3	0
Spinibdella_G	179	0
Spizellomyces_G	167	2
Spumella_G	14	2
Stramenopiles.U.genus_ON	7804	1043
Strigomonas_G	30	4
Stylonychia_G	7715	2
Suctoria.U.genus_ON	87	0
Surapoda_G	2	0
Taphrina_G	80	13
Taphrinomycotina.U.genus_ON	110	132
Teratosphaeria_G	32	13
Tetrachaetum_G	36	0
Tetramitia_I.U.genus_ON	796	26
Thalassiosira_G	6048	22
Thalassiosirales.U.genus_ON	222	45
Thamnocephalis_G	4	1
Thaumatomonadida.U.genus_ON	597	0
Thaumatomonas_G	9	0
Theileria1_ON	1221	17
Tholomura_G	77	0
Tilletiopsis_G	53	1
Tobrilus_G	65	0
Tokophrya_G	176	0
Trachelomonas_G	1572	0
Tremellomycetes.U.genus_ON	151	593
Tremellomycetes_X_ON	282	593
Trepomonas_G	23	0
Trichocladium_G	579	2
Trichosporon_G	252	44
Trimitus_G	88	0
Trochilia_G	115	0
Trypanosoma_G	824	82
Tubulinea.U.genus_ON	2	2
Tubulinea_X.U.genus_ON	492	2
Tuckermannopsis_G	5	1
Turbellaria.U.genus_ON	634	0
Ubysseya_G	2	0
Ulva_G	176	6
Urotricha_G	128	0
Ustanciosporium_G	166	2
Ustilaginomycotina.U.genus_ON	1134	352
Vampyrella_G	18	0
Vampyrellida.U.genus_ON	1110	0
Vannella_G	94	2
Ventrifissura_G	9	0
Venturia_G	4	3
Vorticella_G	1571	0
Xenopus_sG	9	6
Xiphocephalus_G	39	0
Zea_G	6252	190
Zoopagomycota.U.genus_ON	2	217
Zoopagomycota_XX.U.genus_ON	25	217
Zymoseptoria_G	52	79
