DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	OTU & Species Counts
COLOR	#555555

# Bar graph showing OTU counts and NCBI species counts per genus
FIELD_COLORS	#2196F3	#FF9800
Plasmodium4_G	4	10
Platyhelminthes.U.genus_G	851	102
Plectonchus_G	9	0
Podospora_G	6	13
Polychaos_G	14	0
Polychytrium_G	5	1
Polycystinea.U.genus_G	391	0
Populus_G	16	18
Pristionchus_G	70	8
Prodesmodora_G	8	0
Protacanthamoeba_G	3	0
Protaspa_G	4	0
Pseudovorticella_G	6	0
Psora_G	10	2
Ptolemeba_G	29	0
Pycnora_G	46	1
Pythium_G	302	46
Radiolaria.U.genus_G	272	0
Raphidocelis_G	2	1
Rattus_G	58	2
Rehmannia_G	160	1
Reophax_G	10	0
Rhizaria.U.genus_G	2	18
Rhizoclosmatium_G	12	3
Rhizophagus_G	236	7
Rhizophydiales.U.genus_G	29	13
Rhizopus_G	67	7
Rhynchomonas_G	4	0
Ricinus_G	13	2
Rigifila_G	13	0
Ripidomyxa_G	5	0
Russula_G	71	23
Sabatieria_G	16	1
Saccamoeba_G	279	0
Saccharomyces_G	13	20
Saccharomycetales.U.genus_G	190	173
Saccharomycotina.U.genus_G	259	1269
Salpingoecidae_Group_C1_X_G	148	2
Sandona_G	6	0
Saprolegnia_G	5	2
Sarcocystis10_G	76	1
Sawyeria_G	108	0
Schistosoma_G	190	13
Schizoplasmodiidae.U.genus_G	78	0
Schizoplasmodium_G	20	0
Schizosaccharomyces_G	2	8
Scrippsiella_G	2	0
Scytomonadidae.U.genus_G	148	0
Scytomonas_G	66	0
Sessilida.U.genus_G	35	0
Simocephalus_G	1	1
Skeletonema_G	1	8
Smittium_G	60	6
Sordariomycetes.U.genus_G	469	1506
Sorghum_G	1	1
Spadicoides_G	24	0
Spermatozopsis_G	3	0
Sphaeropleales.U.genus_G	56	29
Sphaerozoum_G	2	0
Spinibdella_G	31	0
Spizellomyces_G	52	2
Spumella_G	12	2
Stramenopiles.U.genus_G	1038	480
Strigomonas_G	6	3
Stylonychia_G	800	1
Suctoria.U.genus_G	36	0
Surapoda_G	1	0
TSAR.U.genus_G	509	0
Taphrina_G	17	9
Taphrinomycotina.U.genus_G	17	36
Tectonidula_G	3	1
Teratosphaeria_G	29	8
Tetrachaetum_G	12	0
Tetramitia_I.U.genus_G	200	9
Thalassiosira_G	309	18
Thalassiosirales.U.genus_G	53	34
Thamnocephalis_G	3	1
Thaumatomonadida.U.genus_G	88	0
Thaumatomonas_G	8	0
Theileria1_G	101	7
Tholomura_G	26	0
Tilletiopsis_G	8	1
Tobrilus_G	11	0
Tokophrya_G	33	0
Trachelomonas_G	470	0
Tremellomycetes.U.genus_G	52	196
Tremellomycetes_X_G	27	196
Trepomonas_G	10	0
Trichocladium_G	25	2
Trichosporon_G	42	13
Trimitus_G	47	0
Trochilia_G	25	0
Trypanosoma_G	85	23
Tubulinea.U.genus_G	2	1
Tubulinea_X.U.genus_G	121	1
Tuckermannopsis_G	1	1
Turbellaria.U.genus_G	153	0
Ubysseya_G	1	0
Ulva_G	55	4
Urotricha_G	38	0
Ustanciosporium_G	69	1
Ustilaginomycotina.U.genus_G	43	116
Vampyrella_G	10	0
Vampyrellida.U.genus_G	315	0
Vannella_G	56	1
Ventrifissura_G	9	0
Venturia_G	4	1
Vorticella_G	132	0
Xenopus_G	5	4
Xiphocephalus_G	20	0
Zea_G	372	2
Zoopagomycota.U.genus_G	1	192
Zymoseptoria_G	16	6
