node_id	is_leaf
Euglenida.U.genus_ON	yes
Euglenida_C	no
Euglenophyceae_sC	no
Euglenozoa.U.genus_ON	yes
Euglenozoa_P	no
Euglyphida_O	no
Eugregarinorida_O	no
Eukaryota.U.genus_ON	yes
Eukaryota_D	no
Eukaryota_incertae_sedis_NR	no
Eumetazoa_Cl	no
Euphyllophyta_Cl	no
Eupodina_Cl	no
Eupodoidea_SF	no
Eurotatoria_C	no
Eurotiales_O	no
Eurotiomycetes.U.genus_ON	yes
Eurotiomycetes_C	no
Eurotiomycetidae_sC	no
Eurytemora_G	yes
Eustigmatales_O	no
Eustigmatophyceae_C	no
Euteleostomi_Cl	no
Eutetramitia_Cl	no
Eutheria_Cl	no
Evaginogenida_O	no
Evaginogenida_X_ON	yes
Evosea_P	no
Exobasidiomycetes_C	no
Exophiala_G	yes
Fabaceae_F	no
Fabales_O	no
Filoreta_G	yes
Flabellinia_C	no
Flabellulidae_F	no
Flamella_G	yes
Flamellidae.U.genus_ON	yes
Flamellidae_F	no
Flectomonas_G	yes
Foraminifera.U.genus_ON	yes
Foraminifera_P	no
Fornicata_P	no
Fractovitellida_O	no
Funariaceae_F	no
Funariales_O	no
Funariidae_sC	no
Fungi.U.genus_ON	yes
Fungi_K	no
Fungi_incertae_sedis_NR	no
Fusarium_G	yes
Fusiforma_G	yes
Gadixcellia_G	yes
Gastropidae_F	no
Gastropoda_C	no
Gastrotricha_P	no
Glires_Cl	no
Glissomonadida.U.genus_ON	yes
Glissomonadida_O	no
Glomeraceae_F	no
Glomerales_O	no
Glomerellaceae_F	no
Glomerellales_O	no
Glomeromycetes_C	no
Glomeromycotina_sP	no
Glutinoconcha_sO	no
Glycine_G	yes
Gnathifera_Cl	no
Gnathostomata_Cl	no
Gonyaulacales_O	no
Granofilosea_Cl	no
Gregarina3_ON	yes
Gregarina_G	no
Gregarinasina_sC	no
Gregarinidae.U.genus_ON	yes
Gregarinidae_F	no
Gromia_G	yes
Gromiida_O	no
Gromiidae_F	no
Guepiniopsis_G	yes
Gunneridae_Cl	no
Gymnoplea_SO	no
Gyropaigne_G	yes
Haemosporida_O	no
Haliphthoraceae_F	no
Halodaphnea_G	yes
Haplopoda_iO	no
Haplorrhini_sO	no
Haptista_Cl	no
Haptoria_sC	no
Haptorida_O	no
Harpellales_O	no
Harpellomycetes_C	no
Hartmannella_G	yes
Hartmannellidae.U.genus_ON	yes
Hartmannellidae_F	no
Hartmannulidae_F	no
Hartmannulidae_X_ON	yes
Helotiales_O	no
Hemimastigophora_P	no
Hemimastix_G	yes
Hemiptera_O	no
Herpotrichiellaceae_F	no
Heterodera_G	yes
Heteroderidae_F	no
Heteroderinae_sF	no
Heterolepidoderma_G	yes
Heterolobosea.U.genus_ON	yes
Heterolobosea_P	no
Hexacorallia_sC	no
Hexamita_G	yes
Hexamitidae.U.genus_ON	yes
Hexamitidae_F	no
Hexamitinae_sF	no
Hexanauplia_C	no
Hexapoda_sP	no
Hominidae_F	no
Homininae_sF	no
Hominoidea_SF	no
Homo_G	yes
Hyaloscypha_G	yes
Hyaloscyphaceae_F	no
Hyalospheniidae_F	no
Hymenoptera_O	no
Hymenostomatida_O	no
Hyphodiscaceae_F	no
Hyphodiscus_G	yes
Hypocreales_O	no
Hypocreomycetidae_sC	no
Ichneumonidae_F	no
Ichneumonoidea_SF	no
Ichthyophthirius_G	yes
Iguania_sO	no
Imbricatea_C	no
Insecta.U.genus_ON	yes
Insecta_C	no
Intramacronucleata_sP	no
Isaria_G	yes
Kickxellaceae_F	no
Kickxellales_O	no
Kickxellomycetes_C	no
Kickxellomycotina_sP	no
Kinetoplastea.U.genus_ON	yes
Kinetoplastea_C	no
Kinetoplastea_XX.U.genus_ON	yes
Korotnevella_G	yes
Labyrinthula_G	yes
Labyrinthulaceae_F	no
Labyrinthulida_O	no
Labyrinthulomycetes.U.genus_ON	yes
Labyrinthulomycetes_sC	no
Lagenidiales_O	no
Lagynidae_F	no
Lamiaceae_F	no
Lamiales_O	no
Lasiopteridi_NR	no
Lecanicillium_G	yes
Lecanorales_O	no
Lecanorineae_sO	no
Lecanoromycetes.U.genus_ON	yes
Lecanoromycetes_C	no
Lecanoromycetidae_sC	no
Lecidea_G	yes
Lecideaceae_F	no
Lecideales_O	no
Legeriomycetaceae_F	no
Leidyana1_ON	yes
Leidyana2_ON	yes
Leidyana_G	no
Leidyanidae_F	no
Leishmaniinae_sF	no
Leohumicola_G	yes
Leotiomycetes.U.genus_ON	yes
Leotiomycetes_C	no
Leotiomycetes_incertae_sedis_NR	no
Lepidosauria_C	no
Leptodora_G	yes
Leptodoridae_F	no
Leptomonas_G	yes
Leptomyxida_O	no
Life_R	no
Liliopsida_Cl	no
Limnofilidae_F	no
Limnofilidae_X_ON	yes
Limulidae_F	no
Limulus_G	yes
Lipomyces_G	yes
Lipomycetaceae_F	no
Lipomycetales_O	no
Lipomycetes_C	no
Lipotrophidae_F	no
Litostomatea_C	no
Lituolida_O	no
Lodderomyces_clade_Cl	no
Loimia_G	yes
Longamoebia_O	no
Lophotrochozoa_Cl	no
Macrosiphini_T	no
Magnoliopsida_C	no
Malassezia_G	yes
Malasseziaceae_F	no
Malasseziales_O	no
Malasseziomycetes_C	no
Malpighiales_O	no
Mamiellales_O	no
Mamiellophyceae_C	no
Mammalia.U.genus_ON	yes
Mammalia_C	no
Mammalia_X_ON	yes
Mandibulata_Cl	no
Marasmiineae_sO	no
Massaria_G	yes
Massariaceae_F	no
Massisteria_G	yes
Massisteriidae_F	no
Mastigamoeba_G	yes
Mastigamoebida.U.genus_ON	yes
Mastigamoebida_O	no
Mastigamoebidae_F	no
Mastigella_G	yes
Mattesia_G	yes
Mayetiola_G	yes
Mentheae_T	no
Merostomata_C	no
Mesangiospermae_Cl	no
Metakinetoplastina_sC	no
Metamonada_Cl	no
Metazoa.U.genus_ON	yes
Metazoa_K	no
Metridia_G	yes
Metridinidae_F	no
Micractinium_G	yes
Microlaimidae_F	no
Microlaimoidea_SF	no
Micronuclearia_G	yes
Microsporidia_P	no
Microsporidia_incertae_sedis_NR	no
Minutisphaerales_O	no
Mitosporidium_G	yes
Mollusca.U.genus_ON	yes
Mollusca_P	no
Monocystidae_F	no
Monocystis_G	yes
Monodopsidaceae_F	no
Monogononta_sC	no
Monoraphidium_G	yes
Monothalamids_Cl	no
Monothalamids_X.U.genus_ON	yes
Mortierella_G	yes
Mortierellaceae_F	no
Mortierellales_O	no
Mortierellomycetes_C	no
Mortierellomycotina_sP	no
Mrakia_G	yes
Mrakiaceae_F	no
Mucorales_O	no
Mucorineae_sO	no
Mucoromycetes_C	no
Mucoromycota_P	no
Mucoromycotina.U.genus_ON	yes
Mucoromycotina_sP	no
Multicrustacea_SC	no
Muridae_F	no
Murinae_sF	no
Muroidea_Cl	no
Mycenaceae_F	no
Mycosphaerellaceae_F	no
Mycosphaerellales_O	no
Myomorpha_sO	no
Myxosporea_sC	no
Myxozoa_C	no
NPAAA_clade_Cl	no
Nannochloropsis_G	yes
Nassellaria.U.genus_ON	yes
Nassellaria_O	no
Naviculales_O	no
Nebulidae_F	no
Nebulidea_C	no
Nebulidia_P	no
Nebulidida_O	no
Nebulomonas_G	yes
Nectriaceae_F	no
Nematocera_sO	no
Nematoda.U.genus_ON	yes
Nematoda_P	no
Nematostelium_G	yes
Nematostella_G	yes
Nemogullmia_G	yes
Neobodo_G	yes
Neobodonida.U.genus_ON	yes
