name,novelty_factor
Glomerales,19.667
Thalassiosirales.U.family,1.559
Discosea_X.U.family,1.037
Hexamitidae,143.25
Sarcocystidae,12.667
Oligohymenophorea.U.family,17.842
Ostreoida,0.722
Babesiidae,1.917
Sphaeropleales.U.family,1.931
Sphaeropleales_X,0.138
Thalassiosiraceae,11.885
Acanthamoebidae,5.857
Rhizophydiales.U.family,2.231
Rhizophydiales_X,12.077
Chytridiales_X,0.045
Heterolobosea.U.family,99.556
Tetramitia_I.U.family,22.222
Tetramitia_I_X,6.444
Eustigmatophyceae_XX,5.571
Taphrinomycetes,1.0
Parameciidae,6.5
Labyrinthulomycetes.U.family,0.95
Mastigamoebida.U.family,0.143
Theileriidae,12.625
Harpellales,6.667
Bicoecea_XX,1.167
Coccomyxaceae,2.857
Bicoecea.U.family,46.667
Blastocladiomycetes,3.625
Perkinsida_X.U.family,7.25
Merostomata,9.0
Perkinsida_XX,55.25
Oxytrichidae,160.0
Pelagomonadaceae,7.2
Cyanidiales_X,0.667
Ichthyophonida_XX,1.0
Chloropicaceae,3.75
Cercozoa_XXX,2.4
Cercozoa.U.family,230.4
Cafeteriaceae,6.0
Endomyxa-Ascetosporea_XX,0.667
Euglenida.U.family,508.667
Selenastraceae,0.2
Dacrymycetes,1.25
Spizellomycetaceae,13.0
Rozellomycota_XX,134.0
Salpingoecidae_Group_C1,74.0
Paramoebidae,27.0
Balamuthiidae,8.0
Phaeodactylaceae,15.0
Foraminifera.U.family,107.333
Euglenaceae,470.0
Colpodellida_CHR1,9.0
Vannellidae,56.0
Tubulinea.U.family,2.0
Monothalamids_X.U.family,253.5
Neobodonida.U.family,221.0
Tubulinea_XXXX,7.0
Mastigamoebidae,1609.0
Paulinellidae,17.0
Monothalamids_XX,46.0
Ochromonadaceae,6.0
Tubulinea_X.U.family,121.0
Gastrotricha_XX,99.0
Digenea,190.0
Polychytriales_X,5.0
Rhabdomonadales,26.0
Neovahlkampfiidae,211.0
Pelobiontida.U.family,2.0
Neogregarinorida.U.family,5.0
Bodonidae,10.0
Labyrinthulaceae,62.0
Pelobiontida_X,34.0
Gregarinidae,130.0
Aphelidiaceae,12.0
Embryophyceae_XX,inf
Gyrista.U.family,inf
Dino-Group-II.U.family,inf
Sandonidae,inf
Dino-Group-II-Clade-7,inf
TSAR.U.family,inf
Hartmannellidae,inf
Thoracosphaeraceae,inf
Petalomonadida.U.family,inf
Dino-Group-II-Clade-10-and-11,inf
Polycystinea.U.family,inf
Archaeplastida.U.family,inf
Craniata_X.U.family,inf
Vampyrellida.U.family,inf
Maxillopoda,inf
Dino-Group-II-Clade-6,inf
Radiolaria.U.family,inf
Dileptidae,inf
Scytomonadidae,inf
Nassellaria.U.family,inf
Acantharea_3a,inf
Dino-Group-I.U.family,inf
Flamellidae.U.family,inf
Dino-Group-I-Clade-5,inf
Eupetalomonads_X,inf
Phyllopharyngea.U.family,inf
Dino-Group-I-Clade-4,inf
Sessilida,inf
WIM80-lineage,inf
Actinocephalidae,inf
Cercomonadidae,inf
Turbellaria.U.family,inf
Centroplasthelida_X.U.family,inf
Difflugina,inf
Nolandellidae,inf
Rhogostoma-lineage,inf
Schizoplasmodiidae,inf
Dino-Group-I-Clade-1,inf
Psalteriomonadidae,inf
Dino-Group-II-Clade-3,inf
Thaumatomonadida.U.family,inf
Euamoebida.U.family,inf
Suctoria_X,inf
Endostelium-lineage,inf
Dino-Group-II-Clade-1,inf
Cyclotrichium_like_organism_XX,inf
Rigifilida_XXXX,inf
Arcellinida.U.family,inf
AND16-lineage,inf
Flamella-lineage,inf
Phryganellina,inf
Coccidiomorphea.U.family,inf
LOS7N/I-lineage,inf
Archamoebea.U.family,inf
Bicoecaceae,inf
Ulvales-relatives_X,inf
Peritrichia_2.U.family,inf
Picomonadidae,inf
Sey055-lineage,inf
Mariager-Fjord-lineage,inf
NPK2-lineage,inf
Protaspa-lineage,inf
Mb5C-lineage,inf
Vermamoebidae,inf
Peronosporomycetes_X.U.family,inf
Neobodonidae,inf
Novel-Gran-6,inf
Collophidiidae,inf
Pseudocolliniidae,inf
Novel-clade-10_X,inf
Urotrichidae,inf
Acinetidae_2,inf
Stygamoebida_XX,inf
Suctoria.U.family,inf
Amoebidae,inf
Filoretidae_X,inf
Filosa-Thecofilosea.U.family,inf
Tokophryidae,inf
Gromiidae,inf
Filosa-Sarcomonadea.U.family,inf
Arcellinida_X,inf
Elardia.U.family,inf
Paradinidae,inf
Tholoniidae,inf
Dysteriidae,inf
Distigmidae,inf
NC12A-lineage,inf
Glissomonadida.U.family,inf
Rhabdocoela,inf
Spironemidae,inf
Stylocephalidae,inf
Ophryoglenida,inf
Xcellidae,inf
