level,name,novelty_factor
family,Archaeplastida.U.family,inf
family,Craniata_X.U.family,inf
family,Vampyrellida.U.family,inf
family,Maxillopoda,inf
family,Dino-Group-II-Clade-6,inf
family,Radiolaria.U.family,inf
family,Dileptidae,inf
family,Scytomonadidae,inf
family,Nassellaria.U.family,inf
family,Acantharea_3a,inf
family,Dino-Group-I.U.family,inf
family,Flamellidae.U.family,inf
family,Dino-Group-I-Clade-5,inf
family,Eupetalomonads_X,inf
family,Phyllopharyngea.U.family,inf
family,Dino-Group-I-Clade-4,inf
family,Sessilida,inf
family,WIM80-lineage,inf
family,Actinocephalidae,inf
family,Cercomonadidae,inf
family,Turbellaria.U.family,inf
family,Centroplasthelida_X.U.family,inf
family,Difflugina,inf
family,Nolandellidae,inf
family,Rhogostoma-lineage,inf
family,Schizoplasmodiidae,inf
family,Dino-Group-I-Clade-1,inf
family,Psalteriomonadidae,inf
family,Dino-Group-II-Clade-3,inf
family,Thaumatomonadida.U.family,inf
family,Euamoebida.U.family,inf
family,Suctoria_X,inf
family,Endostelium-lineage,inf
family,Dino-Group-II-Clade-1,inf
family,Cyclotrichium_like_organism_XX,inf
family,Rigifilida_XXXX,inf
family,Arcellinida.U.family,inf
family,AND16-lineage,inf
family,Flamella-lineage,inf
family,Phryganellina,inf
family,Coccidiomorphea.U.family,inf
family,LOS7N/I-lineage,inf
family,Archamoebea.U.family,inf
family,Bicoecaceae,inf
family,Ulvales-relatives_X,inf
family,Peritrichia_2.U.family,inf
family,Picomonadidae,inf
family,Sey055-lineage,inf
family,Mariager-Fjord-lineage,inf
family,NPK2-lineage,inf
family,Protaspa-lineage,inf
family,Mb5C-lineage,inf
family,Vermamoebidae,inf
family,Peronosporomycetes_X.U.family,inf
family,Neobodonidae,inf
family,Novel-Gran-6,inf
family,Collophidiidae,inf
family,Pseudocolliniidae,inf
family,Novel-clade-10_X,inf
family,Urotrichidae,inf
family,Acinetidae_2,inf
family,Stygamoebida_XX,inf
family,Suctoria.U.family,inf
family,Amoebidae,inf
family,Filoretidae_X,inf
family,Filosa-Thecofilosea.U.family,inf
family,Tokophryidae,inf
family,Gromiidae,inf
family,Filosa-Sarcomonadea.U.family,inf
family,Arcellinida_X,inf
family,Elardia.U.family,inf
family,Paradinidae,inf
family,Tholoniidae,inf
