file,domain,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
222_Candidatus_Nanoarchaeia_class.fna,unknown,Candidatus_Nanoarchaeia,class,8,1319.0,934,1500,0,0,N/A,0
223_Rhodothermales_order.fna,bacteria,Rhodothermales,order,509,1481.0,1222,1574,21.75,881,Bacteroidota/Chlorobiota group > Rhodothermota > Rhodothermia,3
225_Fusobacteriaceae_family.fna,bacteria,Fusobacteriaceae,family,262,1400.4,1230,1900,21.58,435,Fusobacteriota > Fusobacteriia > Fusobacteriales,5
226_Elusimicrobiota_phylum.fna,bacteria,Elusimicrobiota,phylum,91,1735.7,1265,4000,21.53,686,root > Bacteria > Pseudomonadati,4
227_Thermomicrobiota_phylum.fna,bacteria,Thermomicrobiota,phylum,27,1420.5,1323,1537,21.51,508,root > Bacteria > Pseudomonadati,4
228_Scytonemataceae_family.fna,bacteria,Scytonemataceae,family,45,1448.8,1263,1879,21.46,52,Cyanobacteriota > Cyanophyceae > Nostocales,4
229_Azospirillaceae_family.fna,bacteria,Azospirillaceae,family,139,1396.4,1200,1510,21.36,189,Pseudomonadota > Alphaproteobacteria > Rhodospirillales,5
230_Sterolibacteriaceae_family.fna,bacteria,Sterolibacteriaceae,family,117,1456.7,1202,1588,21.3,156,Pseudomonadota > Betaproteobacteria > Nitrosomonadales,5
231_Holosporales_order.fna,bacteria,Holosporales,order,38,1471.5,1233,2280,21.2,541,Pseudomonadati > Pseudomonadota > Alphaproteobacteria,3
232_Gaiellales_order.fna,bacteria,Gaiellales,order,493,1429.1,1205,1619,21.04,1041,Bacillati > Actinomycetota > Thermoleophilia,2
234_Acidobacteriaceae_family.fna,bacteria,Acidobacteriaceae,family,162,1446.5,1215,1563,20.85,305,Acidobacteriota > Terriglobia > Terriglobales,6
235_Leadbetterellaceae_family.fna,bacteria,Leadbetterellaceae,family,22,1453.2,1260,1537,20.65,40,Bacteroidota > Cytophagia > Cytophagales,5
236_Enterobacteriaceae_family.fna,bacteria,Enterobacteriaceae,family,66,1434.6,1216,1565,20.41,70,Pseudomonadota > Gammaproteobacteria > Enterobacterales,6
237_Chthoniobacteraceae_family.fna,bacteria,Chthoniobacteraceae,family,391,1462.9,1216,1615,20.37,791,Verrucomicrobiota > Spartobacteria > Chthoniobacterales,2
238_Desulfotomaculaceae_family.fna,bacteria,Desulfotomaculaceae,family,99,1464.8,1218,1695,20.22,137,Bacillota > Clostridia > Eubacteriales,3
239_Aminobacteriaceae_family.fna,bacteria,Aminobacteriaceae,family,90,1457.2,1219,1538,20.17,97,Synergistota > Synergistia > Synergistales,3
240_Alicyclobacillaceae_family.fna,bacteria,Alicyclobacillaceae,family,131,1469.5,1211,1557,19.97,173,Bacillota > Bacilli > Bacillales,5
241_Legionellales_order.fna,bacteria,Legionellales,order,499,1444.1,1203,1642,19.94,697,Pseudomonadati > Pseudomonadota > Gammaproteobacteria,3
