LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Zymomonas_G	Zymomonas (G) NF=3.0
Acetobacterales_O	Acetobacterales (O)
Acetobacteraceae_F	Acetobacteraceae (F) NF=3.4
Acetobacter_G	Acetobacter (G) NF=0.8
Gluconobacter_G	Gluconobacter (G) NF=0.3
Komagataeibacter_G	Komagataeibacter (G) NF=0.7
Acidisphaera_G	Acidisphaera (G) NF=6.4
Asaia_G	Asaia (G) NF=0.3
Commensalibacter_G	Commensalibacter (G) NF=0.3
Rhodopila_G	Rhodopila (G) NF=5.7
Gluconacetobacter_G	Gluconacetobacter (G) NF=0.3
Bombella_G	Bombella (G) NF=0.1
Parasaccharibacter_G	Parasaccharibacter (G) NF=0.2
Granulibacter_G	Granulibacter (G) NF=9.0
Saccharibacter_G	Saccharibacter (G) NF=0.1
Kozakia_G	Kozakia (G) NF=3.0
Acidomonas_G	Acidomonas (G) NF=1.0
Neokomagataea_G	Neokomagataea (G) NF=0.2
Rhodovastum_G	Rhodovastum (G) NF=37.0
Neoasaia_G	Neoasaia (G) NF=1.0
Endobacter_G	Endobacter (G) NF=8.0
Craurococcus_G	Craurococcus (G) NF=3.0
Swaminathania_G	Swaminathania (G) NF=1.0
Tanticharoenia_G	Tanticharoenia (G) NF=1.0
Acidicaldus_G	Acidicaldus (G) NF=19.0
Elioraeaceae_F	Elioraeaceae (F) NF=0.6
Elioraea_G	Elioraea (G) NF=0.6
Roseomonadaceae_F	Roseomonadaceae (F)
Roseomonas_G	Roseomonas (G) NF=4.4
Roseococcus_G	Roseococcus (G) NF=0.6
Paracraurococcus_G	Paracraurococcus (G) NF=1.0
Rubritepida_G	Rubritepida (G) NF=3.3
Rhodovarius_G	Rhodovarius (G) NF=3.5
Belnapia_G	Belnapia (G) NF=1.2
Siccirubricoccus_G	Siccirubricoccus (G) NF=0.2
Crenalkalicoccus_G	Crenalkalicoccus (G) NF=1.0
Caldovatus_G	Caldovatus (G) NF=1.5
Humitalea_G	Humitalea (G) NF=1.0
Acidocellaceae_F	Acidocellaceae (F)
Acidiphilium_G	Acidiphilium (G) NF=4.9
Acidocella_G	Acidocella (G) NF=1.4
Acidisoma_G	Acidisoma (G) NF=1.2
Rickettsiales_O	Rickettsiales (O)
Anaplasmataceae_F	Anaplasmataceae (F) NF=0.8
Wolbachieae_T	Wolbachieae (T)
Wolbachia_G	Wolbachia (G) NF=0.5
Anaplasma_G	Anaplasma (G) NF=1.6
Ehrlichia_G	Ehrlichia (G) NF=3.1
Neorickettsia_G	Neorickettsia (G) NF=4.0
Rickettsiaceae_F	Rickettsiaceae (F) NF=2.8
Rickettsieae_T	Rickettsieae (T)
Rickettsia_G	Rickettsia (G) NF=0.6
Orientia_G	Orientia (G) NF=6.0
Rickettsiales_genera_incertae_sedis_N	Rickettsiales genera incertae sedis (N)
Lyticum_G	Lyticum (G) NF=3.0
Caulobacterales_O	Caulobacterales (O)
Caulobacteraceae_F	Caulobacteraceae (F) NF=1.8
Brevundimonas_G	Brevundimonas (G) NF=1.6
Phenylobacterium_G	Phenylobacterium (G) NF=3.4
Caulobacter_G	Caulobacter (G) NF=1.1
Asticcacaulis_G	Asticcacaulis (G) NF=0.7
Rhodospirillales_O	Rhodospirillales (O)
Rhodospirillaceae_F	Rhodospirillaceae (F) NF=3.1
Magnetospirillum_G	Magnetospirillum (G) NF=1.5
Ferrovibrio_G	Ferrovibrio (G) NF=1.2
Defluviicoccus_G	Defluviicoccus (G) NF=16.2
Telmatospirillum_G	Telmatospirillum (G) NF=7.5
Rhodospirillum_G	Rhodospirillum (G) NF=1.3
Tagaea_G	Tagaea (G) NF=2.5
Inquilinus_G	Inquilinus (G) NF=3.1
Elstera_G	Elstera (G) NF=1.0
Roseospira_G	Roseospira (G) NF=0.6
Rhodospira_G	Rhodospira (G) NF=1.0
Marivibrio_G	Marivibrio (G) NF=1.5
Phaeospirillum_G	Phaeospirillum (G) NF=3.5
Pararhodospirillum_G	Pararhodospirillum (G) NF=1.0
Roseospirillum_G	Roseospirillum (G) NF=4.0
Lacibacterium_G	Lacibacterium (G) NF=2.0
Marinibaculum_G	Marinibaculum (G) NF=1.0
Phaeovibrio_G	Phaeovibrio (G) NF=1.0
Azospirillaceae_F	Azospirillaceae (F) NF=2.3
Azospirillum_G	Azospirillum (G) NF=2.0
Nitrospirillum_G	Nitrospirillum (G) NF=0.6
Niveispirillum_G	Niveispirillum (G) NF=1.2
Skermanella_G	Skermanella (G) NF=6.1
Rhodocista_G	Rhodocista (G) NF=4.0
Thalassospiraceae_F	Thalassospiraceae (F) NF=2.6
Thalassospira_G	Thalassospira (G) NF=1.0
Magnetospira_G	Magnetospira (G) NF=31.0
Stellaceae_F	Stellaceae (F) NF=4.2
Stella_G	Stella (G) NF=2.5
Constrictibacter_G	Constrictibacter (G) NF=15.0
Kiloniellaceae_F	Kiloniellaceae (F) NF=11.0
Kiloniella_G	Kiloniella (G) NF=0.3
Aestuariispira_G	Aestuariispira (G) NF=1.5
Thalassobaculaceae_F	Thalassobaculaceae (F) NF=1.8
Nisaea_G	Nisaea (G) NF=1.0
Thalassobaculum_G	Thalassobaculum (G) NF=1.7
Rhodovibrionaceae_F	Rhodovibrionaceae (F) NF=3.3
Pelagibius_G	Pelagibius (G) NF=3.9
Rhodovibrio_G	Rhodovibrio (G) NF=4.0
Fodinicurvata_G	Fodinicurvata (G) NF=0.8
Tistlia_G	Tistlia (G) NF=10.5
Limibacillus_G	Limibacillus (G) NF=3.7
Limimonas_G	Limimonas (G) NF=4.0
Terasakiellaceae_F	Terasakiellaceae (F) NF=14.2
Terasakiella_G	Terasakiella (G) NF=2.0
Zavarziniaceae_F	Zavarziniaceae (F) NF=1.2
Zavarzinia_G	Zavarzinia (G) NF=0.8
Magnetovibrionaceae_F	Magnetovibrionaceae (F)
Magnetovibrio_G	Magnetovibrio (G) NF=7.8
Varunaivibrio_G	Varunaivibrio (G) NF=3.0
Dongiaceae_F	Dongiaceae (F)
Dongia_G	Dongia (G) NF=7.9
Aliidongia_G	Aliidongia (G) NF=6.0
Novispirillaceae_F	Novispirillaceae (F)
Haematospirillum_G	Haematospirillum (G) NF=0.4
Caenispirillum_G	Caenispirillum (G) NF=1.0
Novispirillum_G	Novispirillum (G) NF=1.0
Insolitispirillum_G	Insolitispirillum (G) NF=5.0
Oceanibaculaceae_F	Oceanibaculaceae (F)
Oceanibaculum_G	Oceanibaculum (G) NF=2.0
Hyphomonadales_O	Hyphomonadales (O)
Hyphomonadaceae_F	Hyphomonadaceae (F) NF=2.9
Hyphomonas_G	Hyphomonas (G) NF=1.0
Henriciella_G	Henriciella (G) NF=0.4
Ponticaulis_G	Ponticaulis (G) NF=1.5
Hirschia_G	Hirschia (G) NF=7.4
Micropepsales_O	Micropepsales (O)
Micropepsaceae_F	Micropepsaceae (F) NF=32.2
Rhizomicrobium_G	Rhizomicrobium (G) NF=2.0
Maricaulales_O	Maricaulales (O)
Maricaulaceae_F	Maricaulaceae (F) NF=1.4
Maricaulis_G	Maricaulis (G) NF=1.7
Oceanicaulis_G	Oceanicaulis (G) NF=2.6
Hyphobacterium_G	Hyphobacterium (G) NF=0.6
Marinicauda_G	Marinicauda (G) NF=1.0
Glycocaulis_G	Glycocaulis (G) NF=0.4
Euryhalocaulis_G	Euryhalocaulis (G) NF=3.0
Woodsholea_G	Woodsholea (G) NF=1.0
Robiginitomaculaceae_F	Robiginitomaculaceae (F) NF=3.2
Hellea_G	Hellea (G) NF=2.7
Robiginitomaculum_G	Robiginitomaculum (G) NF=10.3
Algimonas_G	Algimonas (G) NF=1.2
Litorimonas_G	Litorimonas (G) NF=1.2
Fretibacter_G	Fretibacter (G) NF=1.0
Parvularculales_O	Parvularculales (O)
Parvularculaceae_F	Parvularculaceae (F) NF=3.1
Parvularcula_G	Parvularcula (G) NF=1.2
Amphiplicatus_G	Amphiplicatus (G) NF=21.0
Aquisalinus_G	Aquisalinus (G) NF=1.0
Hyphococcus_G	Hyphococcus (G) NF=0.8
Geminicoccales_O	Geminicoccales (O)
Geminicoccaceae_F	Geminicoccaceae (F) NF=10.5
Tistrella_G	Tistrella (G) NF=2.8
Geminicoccus_G	Geminicoccus (G) NF=1.2
Arboricoccus_G	Arboricoccus (G) NF=4.0
Kordiimonadales_O	Kordiimonadales (O)
Kordiimonadaceae_F	Kordiimonadaceae (F) NF=3.6
Kordiimonas_G	Kordiimonas (G) NF=5.5
Eilatimonas_G	Eilatimonas (G) NF=2.0
Temperatibacteraceae_F	Temperatibacteraceae (F) NF=1.0
Temperatibacter_G	Temperatibacter (G) NF=2.0
Holosporales_O	Holosporales (O)
Holosporaceae_F	Holosporaceae (F) NF=15.1
Holospora_G	Holospora (G) NF=18.8
Caedimonadaceae_F	Caedimonadaceae (F) NF=0.2
Caedimonas_G	Caedimonas (G) NF=0.5
Emcibacterales_O	Emcibacterales (O)
Emcibacteraceae_F	Emcibacteraceae (F) NF=0.5
Emcibacter_G	Emcibacter (G) NF=1.3
Sneathiellales_O	Sneathiellales (O)
Sneathiellaceae_F	Sneathiellaceae (F) NF=2.9
Sneathiella_G	Sneathiella (G) NF=2.8
Oceanibacterium_G	Oceanibacterium (G) NF=1.0
Iodidimonadales_O	Iodidimonadales (O)
Iodidimonadaceae_F	Iodidimonadaceae (F) NF=1.6
Iodidimonas_G	Iodidimonas (G) NF=1.6
Rhodothalassiales_O	Rhodothalassiales (O)
Rhodothalassiaceae_F	Rhodothalassiaceae (F) NF=1.0
Rhodothalassium_G	Rhodothalassium (G) NF=2.0
Alphaproteobacteria_incertae_sedis_N	Alphaproteobacteria incertae sedis (N)
Thermopetrobacter_G	Thermopetrobacter (G) NF=6.0
Acidithiobacillia_C	Acidithiobacillia (C)
Acidithiobacillales_O	Acidithiobacillales (O)
Acidithiobacillaceae_F	Acidithiobacillaceae (F) NF=3.5
Acidithiobacillus_G	Acidithiobacillus (G) NF=2.4
Thermithiobacillaceae_F	Thermithiobacillaceae (F) NF=0.5
Thermithiobacillus_G	Thermithiobacillus (G) NF=0.5
Candidatius_Mariprofundia_C	Candidatius Mariprofundia (C)
Mariprofundales_O	Mariprofundales (O)
Mariprofundaceae_F	Mariprofundaceae (F) NF=7.4
Mariprofundus_G	Mariprofundus (G) NF=7.9
Hydrogenophilia_C	Hydrogenophilia (C)
Hydrogenophilales_O	Hydrogenophilales (O)
Hydrogenophilaceae_F	Hydrogenophilaceae (F) NF=14.2
Tepidiphilus_G	Tepidiphilus (G) NF=1.6
Hydrogenophilus_G	Hydrogenophilus (G) NF=3.7
Magnetococcia_C	Magnetococcia (C)
Magnetococcales_O	Magnetococcales (O)
Magnetococcaceae_F	Magnetococcaceae (F) NF=10.8
Magnetococcus_G	Magnetococcus (G) NF=11.7
Magnetofaba_G	Magnetofaba (G) NF=1.0
Campylobacterota_P	Campylobacterota (P) NF=3.1
Epsilonproteobacteria_C	Epsilonproteobacteria (C)
Campylobacterales_O	Campylobacterales (O)
Campylobacteraceae_F	Campylobacteraceae (F) NF=0.6
Campylobacter_G	Campylobacter (G) NF=0.6
Helicobacteraceae_F	Helicobacteraceae (F) NF=1.2
Helicobacter_G	Helicobacter (G) NF=1.0
Wolinella_G	Wolinella (G) NF=2.0
Arcobacteraceae_F	Arcobacteraceae (F) NF=4.8
Arcobacter_G	Arcobacter (G) NF=1.0
Halarcobacter_G	Halarcobacter (G) NF=4.0
Malaciobacter_G	Malaciobacter (G) NF=2.8
Poseidonibacter_G	Poseidonibacter (G) NF=0.2
Sulfurimonadaceae_F	Sulfurimonadaceae (F) NF=5.7
Sulfurimonas_G	Sulfurimonas (G) NF=6.4
Sulfuricurvum_G	Sulfuricurvum (G) NF=4.0
Thiovulum_G	Thiovulum (G) NF=2.4
Sulfurovaceae_F	Sulfurovaceae (F) NF=15.9
Sulfurovum_G	Sulfurovum (G) NF=15.4
Nitratifractor_G	Nitratifractor (G) NF=27.7
Sulfurospirillaceae_F	Sulfurospirillaceae (F) NF=3.1
Sulfurospirillum_G	Sulfurospirillum (G) NF=3.2
Hydrogenimonadaceae_F	Hydrogenimonadaceae (F)
Hydrogenimonas_G	Hydrogenimonas (G) NF=4.4
Nautiliales_O	Nautiliales (O)
Nautiliaceae_F	Nautiliaceae (F) NF=7.3
Lebetimonas_G	Lebetimonas (G) NF=1.3
Caminibacter_G	Caminibacter (G) NF=16.5
Nautilia_G	Nautilia (G) NF=3.3
Nitratiruptoraceae_F	Nitratiruptoraceae (F) NF=2.2
Nitratiruptor_G	Nitratiruptor (G) NF=3.1
Desulfurellia_C	Desulfurellia (C)
Desulfurellales_O	Desulfurellales (O)
Desulfurellaceae_F	Desulfurellaceae (F) NF=3.9
Desulfurella_G	Desulfurella (G) NF=2.2
Hippeaceae_F	Hippeaceae (F)
Hippea_G	Hippea (G) NF=3.0
FCB_group_C	FCB group (C)
Bacteroidota/Chlorobiota_group_C	Bacteroidota/Chlorobiota group (C)
Bacteroidota_P	Bacteroidota (P) NF=4.3
Bacteroidia_C	Bacteroidia (C)
Bacteroidales_O	Bacteroidales (O)
Muribaculaceae_F	Muribaculaceae (F) NF=24.2
Muribaculum_G	Muribaculum (G) NF=1.2
Bacteroidaceae_F	Bacteroidaceae (F) NF=3.2
Bacteroides_G	Bacteroides (G) NF=4.1
Phocaeicola_G	Phocaeicola (G) NF=0.0
Prevotellaceae_F	Prevotellaceae (F) NF=6.2
Prevotella_G	Prevotella (G) NF=6.4
Alloprevotella_G	Alloprevotella (G) NF=29.9
Paraprevotella_G	Paraprevotella (G) NF=6.3
Marseilla_G	Marseilla (G) NF=2.0
Rikenellaceae_F	Rikenellaceae (F) NF=16.2
Alistipes_G	Alistipes (G) NF=5.0
Rikenella_G	Rikenella (G) NF=9.5
Mucinivorans_G	Mucinivorans (G) NF=2.5
Acetobacteroides_G	Acetobacteroides (G) NF=5.0
Porphyromonadaceae_F	Porphyromonadaceae (F) NF=1.3
Porphyromonas_G	Porphyromonas (G) NF=6.1
Macellibacteroides_G	Macellibacteroides (G) NF=16.7
Sanguibacteroides_G	Sanguibacteroides (G) NF=2.3
Microbacter_G	Microbacter (G) NF=3.0
Gabonibacter_G	Gabonibacter (G) NF=0.3
Falsiporphyromonas_G	Falsiporphyromonas (G) NF=1.0
Tannerellaceae_F	Tannerellaceae (F) NF=2.8
Parabacteroides_G	Parabacteroides (G) NF=2.2
Tannerella_G	Tannerella (G) NF=6.3
Odoribacteraceae_F	Odoribacteraceae (F) NF=2.2
Odoribacter_G	Odoribacter (G) NF=3.1
Butyricimonas_G	Butyricimonas (G) NF=1.7
Paludibacteraceae_F	Paludibacteraceae (F) NF=16.8
Paludibacter_G	Paludibacter (G) NF=14.5
Dysgonomonadaceae_F	Dysgonomonadaceae (F) NF=5.5
Proteiniphilum_G	Proteiniphilum (G) NF=2.5
Dysgonomonas_G	Dysgonomonas (G) NF=2.8
Petrimonas_G	Petrimonas (G) NF=5.2
Fermentimonas_G	Fermentimonas (G) NF=29.5
Barnesiellaceae_F	Barnesiellaceae (F) NF=4.8
Barnesiella_G	Barnesiella (G) NF=3.6
Coprobacter_G	Coprobacter (G) NF=3.4
Lentimicrobiaceae_F	Lentimicrobiaceae (F) NF=66.9
Lentimicrobium_G	Lentimicrobium (G) NF=38.2
Salinivirgaceae_F	Salinivirgaceae (F) NF=23.0
Williamwhitmaniaceae_F	Williamwhitmaniaceae (F) NF=74.5
Williamwhitmania_G	Williamwhitmania (G) NF=2.0
Balneicellaceae_F	Balneicellaceae (F) NF=1.0
Balneicella_G	Balneicella (G) NF=1.0
Marinilabiliales_O	Marinilabiliales (O)
Prolixibacteraceae_F	Prolixibacteraceae (F) NF=14.0
Draconibacterium_G	Draconibacterium (G) NF=9.8
Mariniphaga_G	Mariniphaga (G) NF=2.5
Tangfeifania_G	Tangfeifania (G) NF=7.3
Sunxiuqinia_G	Sunxiuqinia (G) NF=3.8
Mangrovibacterium_G	Mangrovibacterium (G) NF=1.0
Prolixibacter_G	Prolixibacter (G) NF=2.2
Marinilabiliaceae_F	Marinilabiliaceae (F) NF=8.2
Saccharicrinis_G	Saccharicrinis (G) NF=0.3
Carboxylicivirga_G	Carboxylicivirga (G) NF=5.4
Marinilabilia_G	Marinilabilia (G) NF=2.0
Anaerophaga_G	Anaerophaga (G) NF=7.0
Alkaliflexus_G	Alkaliflexus (G) NF=3.3
Alkalitalea_G	Alkalitalea (G) NF=1.5
Thermophagus_G	Thermophagus (G) NF=1.0
Labilibacter_G	Labilibacter (G) NF=5.5
Marinifilaceae_F	Marinifilaceae (F) NF=7.1
Marinifilum_G	Marinifilum (G) NF=6.8
Ancylomarina_G	Ancylomarina (G) NF=0.1
Flavobacteriia_C	Flavobacteriia (C)
Flavobacteriales_O	Flavobacteriales (O)
Flavobacteriaceae_F	Flavobacteriaceae (F) NF=1.7
Flavobacterium_G	Flavobacterium (G) NF=1.8
Polaribacter_G	Polaribacter (G) NF=1.1
Tenacibaculum_G	Tenacibaculum (G) NF=1.3
Capnocytophaga_G	Capnocytophaga (G) NF=4.1
Maribacter_G	Maribacter (G) NF=0.9
Winogradskyella_G	Winogradskyella (G) NF=1.1
Nonlabens_G	Nonlabens (G) NF=1.0
Aquimarina_G	Aquimarina (G) NF=0.6
Myroides_G	Myroides (G) NF=1.1
Aequorivita_G	Aequorivita (G) NF=0.8
Allomuricauda_G	Allomuricauda (G) NF=1.6
Lutibacter_G	Lutibacter (G) NF=2.5
Leeuwenhoekiella_G	Leeuwenhoekiella (G) NF=0.2
Flagellimonas_G	Flagellimonas (G) NF=0.2
Christiangramia_G	Christiangramia (G) NF=0.5
Algibacter_G	Algibacter (G) NF=1.6
Arenibacter_G	Arenibacter (G) NF=0.6
Dokdonia_G	Dokdonia (G) NF=0.9
Cellulophaga_G	Cellulophaga (G) NF=0.7
Mesonia_G	Mesonia (G) NF=0.7
Sediminicola_G	Sediminicola (G) NF=0.7
Psychroserpens_G	Psychroserpens (G) NF=0.7
Formosa_G	Formosa (G) NF=4.0
Muriicola_G	Muriicola (G) NF=0.9
Salegentibacter_G	Salegentibacter (G) NF=1.6
Salinimicrobium_G	Salinimicrobium (G) NF=1.7
Mesoflavibacter_G	Mesoflavibacter (G) NF=2.2
Gillisia_G	Gillisia (G) NF=1.0
Ulvibacter_G	Ulvibacter (G) NF=9.2
Eudoraea_G	Eudoraea (G) NF=1.0
Psychroflexus_G	Psychroflexus (G) NF=3.0
Robiginitalea_G	Robiginitalea (G) NF=2.5
Olleya_G	Olleya (G) NF=0.5
Zunongwangia_G	Zunongwangia (G) NF=1.0
Mariniflexile_G	Mariniflexile (G) NF=0.4
Xanthomarina_G	Xanthomarina (G) NF=0.6
Zobellia_G	Zobellia (G) NF=0.5
Gilvibacter_G	Gilvibacter (G) NF=2.3
Gelidibacter_G	Gelidibacter (G) NF=1.2
Lacinutrix_G	Lacinutrix (G) NF=0.8
Bizionia_G	Bizionia (G) NF=0.9
Croceitalea_G	Croceitalea (G) NF=1.2
Mangrovimonas_G	Mangrovimonas (G) NF=0.5
Kordia_G	Kordia (G) NF=1.8
Croceibacter_G	Croceibacter (G) NF=0.7
Flaviramulus_G	Flaviramulus (G) NF=0.3
Galbibacter_G	Galbibacter (G) NF=0.7
Wenyingzhuangia_G	Wenyingzhuangia (G) NF=0.8
Lutimonas_G	Lutimonas (G) NF=2.8
Gaetbulibacter_G	Gaetbulibacter (G) NF=1.5
Flavivirga_G	Flavivirga (G) NF=0.2
Hyunsoonleella_G	Hyunsoonleella (G) NF=0.6
Seonamhaeicola_G	Seonamhaeicola (G) NF=0.9
Aquaticitalea_G	Aquaticitalea (G) NF=0.5
Flavicella_G	Flavicella (G) NF=4.7
Pricia_G	Pricia (G) NF=4.3
Oceanihabitans_G	Oceanihabitans (G) NF=0.2
Tamlana_G	Tamlana (G) NF=1.4
Zeaxanthinibacter_G	Zeaxanthinibacter (G) NF=3.7
Aestuariibaculum_G	Aestuariibaculum (G) NF=0.6
Altibacter/Constantimarinum_group_N	Altibacter/Constantimarinum group (N)
Altibacter_G	Altibacter (G) NF=1.2
Sinomicrobium_G	Sinomicrobium (G) NF=0.8
Aestuariivivens_G	Aestuariivivens (G) NF=0.4
Antarcticibacterium_G	Antarcticibacterium (G) NF=2.3
Jejuia_G	Jejuia (G) NF=1.8
Meridianimaribacter_G	Meridianimaribacter (G) NF=1.0
Robertkochia_G	Robertkochia (G) NF=1.2
Yeosuana_G	Yeosuana (G) NF=1.0
Hanstruepera_G	Hanstruepera (G) NF=0.5
Planktosalinus_G	Planktosalinus (G) NF=4.0
Marixanthomonas_G	Marixanthomonas (G) NF=2.0
Hwangdonia_G	Hwangdonia (G) NF=0.7
Zhouia_G	Zhouia (G) NF=0.7
Aureitalea_G	Aureitalea (G) NF=1.8
Confluentibacter_G	Confluentibacter (G) NF=1.2
Corallibacter_G	Corallibacter (G) NF=0.5
Euzebyella_G	Euzebyella (G) NF=3.0
Pseudozobellia_G	Pseudozobellia (G) NF=0.7
Imtechella_G	Imtechella (G) NF=1.0
Joostella_G	Joostella (G) NF=0.7
Spongiivirga_G	Spongiivirga (G) NF=1.0
Subsaximicrobium_G	Subsaximicrobium (G) NF=3.0
Leptobacterium_G	Leptobacterium (G) NF=0.5
Aureivirga_G	Aureivirga (G) NF=1.0
Flavimarina_G	Flavimarina (G) NF=2.5
Gelatiniphilus_G	Gelatiniphilus (G) NF=1.0
Snuella_G	Snuella (G) NF=1.0
Neptunitalea_G	Neptunitalea (G) NF=1.5
Spongiimicrobium_G	Spongiimicrobium (G) NF=2.0
Ascidiimonas_G	Ascidiimonas (G) NF=1.0
Marinirhabdus_G	Marinirhabdus (G) NF=1.0
Kriegella_G	Kriegella (G) NF=0.5
Pseudofulvibacter_G	Pseudofulvibacter (G) NF=43.0
Geojedonia_G	Geojedonia (G) NF=1.0
Pustulibacterium_G	Pustulibacterium (G) NF=1.0
Postechiella_G	Postechiella (G) NF=3.0
Aureicoccus_G	Aureicoccus (G) NF=1.0
Jejudonia_G	Jejudonia (G) NF=3.0
Changchengzhania_G	Changchengzhania (G) NF=3.0
Gangjinia_G	Gangjinia (G) NF=7.0
Sediminibacter_G	Sediminibacter (G) NF=9.0
Ichthyenterobacterium_G	Ichthyenterobacterium (G) NF=3.0
Aureisphaera_G	Aureisphaera (G) NF=3.0
Costertonia_G	Costertonia (G) NF=2.0
Saonia_G	Saonia (G) NF=1.0
Ochrovirga_G	Ochrovirga (G) NF=1.0
Namhaeicola_G	Namhaeicola (G) NF=2.0
Litoribaculum_G	Litoribaculum (G) NF=1.0
Subsaxibacter_G	Subsaxibacter (G) NF=8.0
Siansivirga_G	Siansivirga (G) NF=3.0
Sungkyunkwania_G	Sungkyunkwania (G) NF=1.0
Weeksellaceae_F	Weeksellaceae (F) NF=1.0
Elizabethkingia_G	Elizabethkingia (G) NF=0.5
Chryseobacterium_group_N	Chryseobacterium group (N)
Chryseobacterium_G	Chryseobacterium (G) NF=0.8
Kaistella_G	Kaistella (G) NF=0.0
Soonwooa_G	Soonwooa (G) NF=1.5
Riemerella_G	Riemerella (G) NF=2.2
Empedobacter_G	Empedobacter (G) NF=0.5
Bergeyella_G	Bergeyella (G) NF=11.3
Ornithobacterium_G	Ornithobacterium (G) NF=5.5
Cloacibacterium_G	Cloacibacterium (G) NF=7.2
Apibacter_G	Apibacter (G) NF=0.3
Moheibacter_G	Moheibacter (G) NF=6.4
Algoriella_G	Algoriella (G) NF=1.0
Weeksella_G	Weeksella (G) NF=1.8
Chishuiella_G	Chishuiella (G) NF=2.5
Cruoricaptor_G	Cruoricaptor (G) NF=1.0
Crocinitomicaceae_F	Crocinitomicaceae (F) NF=11.3
Fluviicola_G	Fluviicola (G) NF=30.4
Lishizhenia_G	Lishizhenia (G) NF=1.0
Crocinitomix_G	Crocinitomix (G) NF=14.0
Brumimicrobium_G	Brumimicrobium (G) NF=2.4
Wandonia_G	Wandonia (G) NF=7.0
Cryomorphaceae_F	Cryomorphaceae (F) NF=14.1
Cryomorpha_G	Cryomorpha (G) NF=17.0
Schleiferiaceae_F	Schleiferiaceae (F) NF=16.6
Schleiferia_G	Schleiferia (G) NF=45.0
Blattabacteriaceae_F	Blattabacteriaceae (F) NF=10.4
Blattabacterium_G	Blattabacterium (G) NF=1.0
Vicingaceae_F	Vicingaceae (F) NF=17.2
Vicingus_G	Vicingus (G) NF=23.0
Salibacteraceae_F	Salibacteraceae (F) NF=0.3
Salibacter_G	Salibacter (G) NF=0.5
Ichthyobacteriaceae_F	Ichthyobacteriaceae (F) NF=12.5
Ichthyobacterium_G	Ichthyobacterium (G) NF=25.0
Luteibaculaceae_F	Luteibaculaceae (F) NF=3.0
Luteibaculum_G	Luteibaculum (G) NF=4.5
Owenweeksiaceae_F	Owenweeksiaceae (F)
Owenweeksia_G	Owenweeksia (G) NF=8.2
Phaeocystidibacteraceae_F	Phaeocystidibacteraceae (F)
Phaeocystidibacter_G	Phaeocystidibacter (G) NF=2.5
Chitinophagia_C	Chitinophagia (C)
Chitinophagales_O	Chitinophagales (O)
Chitinophagaceae_F	Chitinophagaceae (F) NF=6.2
Chitinophaga_G	Chitinophaga (G) NF=0.8
Ferruginibacter_G	Ferruginibacter (G) NF=27.7
Sediminibacterium_G	Sediminibacterium (G) NF=5.9
Puia_G	Puia (G) NF=40.3
Niabella_G	Niabella (G) NF=2.0
Flavisolibacter_G	Flavisolibacter (G) NF=19.6
Segetibacter_G	Segetibacter (G) NF=15.2
Flavihumibacter_G	Flavihumibacter (G) NF=0.8
Hydrotalea_G	Hydrotalea (G) NF=0.5
Parafilimonas_G	Parafilimonas (G) NF=6.0
Taibaiella_G	Taibaiella (G) NF=11.8
Lacibacter_G	Lacibacter (G) NF=1.1
Terrimonas_G	Terrimonas (G) NF=22.6
Niastella_G	Niastella (G) NF=3.8
Flavitalea_G	Flavitalea (G) NF=7.3
Panacibacter_G	Panacibacter (G) NF=0.3
Arachidicoccus_G	Arachidicoccus (G) NF=2.0
Filimonas_G	Filimonas (G) NF=3.0
Asinibacterium_G	Asinibacterium (G) NF=1.2
Flaviaestuariibacter_G	Flaviaestuariibacter (G) NF=3.5
Dinghuibacter_G	Dinghuibacter (G) NF=27.0
Parasediminibacterium_G	Parasediminibacterium (G) NF=8.0
Parasegetibacter_G	Parasegetibacter (G) NF=7.0
Pseudoflavitalea_G	Pseudoflavitalea (G) NF=3.0
Cnuella_G	Cnuella (G) NF=15.0
Haoranjiania_G	Haoranjiania (G) NF=4.0
Rurimicrobium_G	Rurimicrobium (G) NF=10.0
Nemorincola_G	Nemorincola (G) NF=1.0
Sphingobacteriia_C	Sphingobacteriia (C)
Sphingobacteriales_O	Sphingobacteriales (O)
Sphingobacteriaceae_F	Sphingobacteriaceae (F) NF=1.5
Sphingobacterium_G	Sphingobacterium (G) NF=1.2
Pedobacter_G	Pedobacter (G) NF=1.5
Mucilaginibacter_G	Mucilaginibacter (G) NF=1.5
Parapedobacter_G	Parapedobacter (G) NF=1.6
Olivibacter_G	Olivibacter (G) NF=1.4
Pelobium_G	Pelobium (G) NF=2.0
Arcticibacter_G	Arcticibacter (G) NF=3.5
Solitalea_G	Solitalea (G) NF=4.9
Pseudopedobacter_G	Pseudopedobacter (G) NF=3.7
Anseongella_G	Anseongella (G) NF=1.5
Pseudosphingobacterium_G	Pseudosphingobacterium (G) NF=1.0
Nubsella_G	Nubsella (G) NF=11.0
Saprospiria_C	Saprospiria (C)
Saprospirales_O	Saprospirales (O)
Saprospiraceae_F	Saprospiraceae (F) NF=30.3
Aureispira_G	Aureispira (G) NF=6.4
Saprospira_G	Saprospira (G) NF=8.3
Lewinellaceae_F	Lewinellaceae (F) NF=6.5
Lewinella_G	Lewinella (G) NF=17.4
