LABELS
SEPARATOR TAB
DATA
Bacteria_D	Bacteria (D)
Rickettsiella_G	Rickettsiella (G) NF=2.4
Aquicella_G	Aquicella (G) NF=130.5
Aeromonadales_O	Aeromonadales (O)
Aeromonadaceae_F	Aeromonadaceae (F) NF=1.0
Aeromonas_G	Aeromonas (G) NF=1.0
Tolumonas_G	Tolumonas (G) NF=2.6
Oceanisphaera_G	Oceanisphaera (G) NF=1.1
Oceanimonas_G	Oceanimonas (G) NF=0.8
Zobellella_G	Zobellella (G) NF=0.9
Pseudaeromonas_G	Pseudaeromonas (G) NF=0.7
Succinivibrionaceae_F	Succinivibrionaceae (F) NF=2.7
Succinivibrio_G	Succinivibrio (G) NF=9.8
Succinatimonas_G	Succinatimonas (G) NF=0.3
Anaerobiospirillum_G	Anaerobiospirillum (G) NF=1.1
Ruminobacter_G	Ruminobacter (G) NF=7.0
Succinimonas_G	Succinimonas (G) NF=1.5
Thiotrichales_O	Thiotrichales (O)
Francisellaceae_F	Francisellaceae (F) NF=1.3
Francisella_G	Francisella (G) NF=0.7
Allofrancisella_G	Allofrancisella (G) NF=0.7
Piscirickettsiaceae_F	Piscirickettsiaceae (F) NF=1.4
Methylophaga_G	Methylophaga (G) NF=1.1
Piscirickettsia_G	Piscirickettsia (G) NF=2.5
Cycloclasticus_G	Cycloclasticus (G) NF=0.9
Thiomicrorhabdus_G	Thiomicrorhabdus (G) NF=2.8
Thiomicrospira_G	Thiomicrospira (G) NF=1.2
Hydrogenovibrio_G	Hydrogenovibrio (G) NF=0.1
Sulfurivirga_G	Sulfurivirga (G) NF=3.0
Thiotrichaceae_F	Thiotrichaceae (F) NF=6.3
Thiothrix_G	Thiothrix (G) NF=5.4
Cocleimonas_G	Cocleimonas (G) NF=6.7
Thiomargarita_G	Thiomargarita (G) NF=2.7
Beggiatoa_G	Beggiatoa (G) NF=3.8
Thioploca_G	Thioploca (G) NF=0.5
Achromatium_G	Achromatium (G) NF=4.2
Fastidiosibacteraceae_F	Fastidiosibacteraceae (F) NF=2.2
Cysteiniphilum_G	Cysteiniphilum (G) NF=0.7
Caedibacter_G	Caedibacter (G) NF=4.0
Fangia_G	Fangia (G) NF=4.0
Fastidiosibacter_G	Fastidiosibacter (G) NF=3.0
Alteromonadales_O	Alteromonadales (O)
Alteromonadaceae_F	Alteromonadaceae (F) NF=1.8
Alteromonas/Salinimonas_group_N	Alteromonas/Salinimonas group (N)
Alteromonas_G	Alteromonas (G) NF=2.5
Salinimonas_G	Salinimonas (G) NF=3.0
Glaciecola_G	Glaciecola (G) NF=2.1
Paraglaciecola_G	Paraglaciecola (G) NF=1.4
Alishewanella_G	Alishewanella (G) NF=1.1
Agarivorans_G	Agarivorans (G) NF=0.5
Aliiglaciecola_G	Aliiglaciecola (G) NF=0.8
Aestuariibacter_G	Aestuariibacter (G) NF=7.2
Catenovulum_G	Catenovulum (G) NF=2.0
Bowmanella_G	Bowmanella (G) NF=0.6
Alkalimarinus_G	Alkalimarinus (G) NF=0.7
