node,rank,expected_otu,sequences_found,sequences_extracted,output_file
Anomopoda,infraorder,16,70,16,073_Anomopoda_infraorder.fna
Funariaceae,family,28,50,28,074_Funariaceae_family.fna
Paradiniida,order,27,43,27,075_Paradiniida_order.fna
Pyloniidae,family,26,77,26,076_Pyloniidae_family.fna
Astasiidae,family,26,100,26,077_Astasiidae_family.fna
Dysteriidae,family,25,115,25,078_Dysteriidae_family.fna
Distigmidae,family,24,188,24,079_Distigmidae_family.fna
Xenospadicoidaceae,family,24,103,24,080_Xenospadicoidaceae_family.fna
Panicoideae,subfamily,372,6252,372,081_Panicoideae_subfamily.fna
Stylocephalidae,family,20,39,20,082_Stylocephalidae_family.fna
Coccomyxidae,family,20,87,20,083_Coccomyxidae_family.fna
Spironemidae,family,20,81,20,084_Spironemidae_family.fna
Nibbleridae,family,3,11,3,085_Nibbleridae_family.fna
Xcellidae,family,19,22,19,086_Xcellidae_family.fna
Diptilomiopidae,family,19,31,19,087_Diptilomiopidae_family.fna
Apocrita,suborder,240,766,240,088_Apocrita_suborder.fna
Lagynidae,family,18,66,18,089_Lagynidae_family.fna
Neovahlkampfiidae,family,211,780,211,090_Neovahlkampfiidae_family.fna
Amphitraemidae,family,16,60,16,091_Amphitraemidae_family.fna
Dicranophoridae,family,16,25,16,092_Dicranophoridae_family.fna
Paracalanidae,family,15,324,15,093_Paracalanidae_family.fna
Bathycoccaceae,family,308,6531,308,094_Bathycoccaceae_family.fna
Diaptomidae,family,14,901,14,095_Diaptomidae_family.fna
Plagiostomidae,family,12,25,12,096_Plagiostomidae_family.fna
Leidyanidae,family,76,287,76,097_Leidyanidae_family.fna
Orobanchaceae,family,160,265,160,098_Orobanchaceae_family.fna
Tobrilidae,family,11,65,11,099_Tobrilidae_family.fna
Nucleariidae,family,11,30,11,100_Nucleariidae_family.fna
Chlamydomonadales,order,26,119,26,101_Chlamydomonadales_order.fna
Reophacidae,family,10,34,10,102_Reophacidae_family.fna
Vampyrellidae,family,10,18,10,103_Vampyrellidae_family.fna
Evaginogenida,order,9,17,9,104_Evaginogenida_order.fna
Ventrifissuridae,family,9,9,9,105_Ventrifissuridae_family.fna
Astrorhizidae,family,9,9,9,106_Astrorhizidae_family.fna
Panagrolaimidae,family,9,71,9,107_Panagrolaimidae_family.fna
Nematocera,suborder,67,362,67,108_Nematocera_suborder.fna
Tylenchomorpha,infraorder,232,2032,232,109_Tylenchomorpha_infraorder.fna
Thaumatomastigidae,family,8,9,8,110_Thaumatomastigidae_family.fna
Microlaimidae,family,8,10,8,111_Microlaimidae_family.fna
Nygolaiminae,subfamily,8,142,8,112_Nygolaiminae_subfamily.fna
Salpingoecidae,family,148,357,148,113_Salpingoecidae_family.fna
Phaeosphaeriaceae,family,172,1177,172,114_Phaeosphaeriaceae_family.fna
Cryptodifflugiidae,family,6,11,6,115_Cryptodifflugiidae_family.fna
Gastropidae,family,6,7,6,116_Gastropidae_family.fna
Apinae,subfamily,236,762,236,117_Apinae_subfamily.fna
Glomeraceae,family,236,4813,236,118_Glomeraceae_family.fna
Flabellulidae,family,5,6,5,119_Flabellulidae_family.fna
Dacrymycetaceae,family,5,5,5,120_Dacrymycetaceae_family.fna
Eriococcidae,family,5,5,5,121_Eriococcidae_family.fna
Centropagidae,family,5,13,5,122_Centropagidae_family.fna
Metridinidae,family,5,70,5,123_Metridinidae_family.fna
Penthaleidae,family,5,143,5,124_Penthaleidae_family.fna
Pterocystida,order,5,6,5,125_Pterocystida_order.fna
Rhabditina,suborder,127,861,127,126_Rhabditina_suborder.fna
Sarcocystidae,family,76,608,76,127_Sarcocystidae_family.fna
Cintractiaceae,family,69,166,69,128_Cintractiaceae_family.fna
Culicinae,subfamily,65,351,65,129_Culicinae_subfamily.fna
Limnofilidae,family,4,6,4,130_Limnofilidae_family.fna
Rhynchomonadidae,family,4,14,4,131_Rhynchomonadidae_family.fna
Pontellidae,family,4,55,4,132_Pontellidae_family.fna
Cyclopidae,family,4,5,4,133_Cyclopidae_family.fna
Bosminidae,family,4,43,4,134_Bosminidae_family.fna
Sididae,family,4,5,4,135_Sididae_family.fna
Parhypochthoniidae,family,4,6,4,136_Parhypochthoniidae_family.fna
Heteroderinae,subfamily,228,2028,228,137_Heteroderinae_subfamily.fna
