node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Mycosphaerellales,order,2,6.98,3.49,45,dothideomyceta > Dothideomycetes > Dothideomycetidae,"Teratosphaeria(3.8), Zymoseptoria(3.1)",Teratosphaeria;Zymoseptoria
Murinae,subfamily,1,6.8,6.8,58,Myomorpha > Muroidea > Muridae,Rattus(6.8),Rattus
Herpotrichiellaceae,family,2,6.74,3.37,63,Eurotiomycetes > Chaetothyriomycetidae > Chaetothyriales,"Exophiala(3.7), Phialophora(3.0)",Exophiala;Phialophora
Chlorociboriaceae,family,1,6.73,6.73,56,sordariomyceta > Leotiomycetes > Helotiales,Chlorociboria(6.7),Chlorociboria
Selenastraceae,family,2,6.69,3.35,3,Chlorophyceae > CS clade > Sphaeropleales,"Ankistrodesmus(5.0), Raphidocelis(1.7)",Ankistrodesmus;Raphidocelis
Corynesporascaceae,family,1,6.68,6.68,55,Dothideomycetes > Pleosporomycetidae > Pleosporales,Corynespora(6.7),Corynespora
Leishmaniinae,subfamily,1,6.6,6.6,53,Metakinetoplastina > Trypanosomatida > Trypanosomatidae,Leptomonas(6.6),Leptomonas
Spizellomycetaceae,family,1,6.56,6.56,52,Chytridiomycota incertae sedis > Chytridiomycetes > Spizellomycetales,Spizellomyces(6.6),Spizellomyces
Limulidae,family,1,6.53,6.53,36,Chelicerata > Merostomata > Xiphosura,Limulus(6.5),Limulus
Pelagomonadaceae,family,1,6.53,6.53,36,Ochrophyta > Pelagophyceae > Pelagomonadales,Aureococcus(6.5),Aureococcus
Papilionoideae,subfamily,1,6.53,6.53,85,fabids > Fabales > Fabaceae,Glycine(6.5),Glycine
Phryganellidae,family,1,6.51,6.51,2,Elardia > Arcellinida > Phryganellina,Phryganella(6.5),Phryganella
Alaimidae,family,1,6.51,6.51,2,Enoplia > Enoplida > Alaimina,Alaimus(6.5),Alaimus
Acrogenosporaceae,family,1,6.51,6.51,2,Dothideomycetes > Dothideomycetes incertae sedis > Minutisphaerales,Farlowiella(6.5),Farlowiella
Sphaerozoidae,family,1,6.51,6.51,2,Retaria > Polycystinea > Collodaria,Sphaerozoum(6.5),Sphaerozoum
Peridiniaceae,family,1,6.51,6.51,2,Alveolata > Dinophyceae > Peridiniales,Scrippsiella(6.5),Scrippsiella
Lipotrophidae,family,1,6.51,6.51,2,Conoidasida > Gregarinasina > Neogregarinorida,Mattesia(6.5),Mattesia
Theileriidae,family,1,6.49,6.49,101,Apicomplexa > Aconoidasida > Piroplasmida,Theileria1(6.5),Theileria1
Aphidinae,subfamily,1,6.43,6.43,49,Aphidomorpha > Aphidoidea > Aphididae,Acyrthosiphon(6.4),Acyrthosiphon
Pythiaceae,family,1,6.32,6.32,302,Stramenopiles > Oomycota > Pythiales,Pythium(6.3),Pythium
Ulvaceae,family,1,5.86,5.86,55,Ulvophyceae > OUU clade > Ulvales,Ulva(5.9),Ulva
Rhizopodaceae,family,1,5.6,5.6,67,Mucoromycetes > Mucorales > Mucorineae,Rhizopus(5.6),Rhizopus
Ectocarpaceae,family,1,5.58,5.58,77,PX clade > Phaeophyceae > Ectocarpales,Ectocarpus(5.6),Ectocarpus
Legeriomycetaceae,family,1,5.56,5.56,60,Kickxellomycotina > Harpellomycetes > Harpellales,Smittium(5.6),Smittium
Neodiplogasteridae,family,1,5.53,5.53,70,Rhabditina > Diplogasteromorpha > Diplogasteroidea,Pristionchus(5.5),Pristionchus
Danioninae,subfamily,1,5.37,5.37,65,Cypriniformes > Cyprinoidei > Danionidae,Danio(5.4),Danio
Ophryoglenina,suborder,1,5.19,5.19,19,Intramacronucleata > Oligohymenophorea > Hymenostomatida,Ichthyophthirius(5.2),Ichthyophthirius
Parameciidae,family,1,5.1,5.1,65,Intramacronucleata > Oligohymenophorea > Peniculida,Paramecium(5.1),Paramecium
Rhizophydiales,order,2,5.06,2.53,32,Chytridiomycota > Chytridiomycota incertae sedis > Chytridiomycetes,"Rhizophydiales.U.genus(3.3), Batrachochytrium(1.7)",Rhizophydiales.U.genus;Batrachochytrium
Chaetomiaceae,family,1,5.03,5.03,25,Sordariomycetes > Sordariomycetidae > Sordariales,Trichocladium(5.0),Trichocladium
Echinamoebidae,family,1,5.0,5.0,1,Amoebozoa > Tubulinea > Echinamoebida,Echinamoeba(5.0),Echinamoeba
Leptodoridae,family,1,5.0,5.0,1,Diplostraca > Cladocera > Haplopoda,Leptodora(5.0),Leptodora
Nothopodinae,subfamily,1,5.0,5.0,1,Eupodina > Eriophyoidea > Eriophyidae,Surapoda(5.0),Surapoda
Massariaceae,family,1,5.0,5.0,1,Dothideomycetes > Pleosporomycetidae > Pleosporales,Massaria(5.0),Massaria
Massisteriidae,family,1,5.0,5.0,1,Rhizaria > Cercozoa > Granofilosea,Massisteria(5.0),Massisteria
Epistylidae,family,1,5.0,5.0,1,Oligohymenophorea > Peritrichia > Sessilida,Campanella(5.0),Campanella
Haliphthoraceae,family,1,5.0,5.0,1,Stramenopiles > Oomycota > Lagenidiales,Halodaphnea(5.0),Halodaphnea
Nebulidae,family,1,5.0,5.0,1,Nebulidia > Nebulidea > Nebulidida,Nebulomonas(5.0),Nebulomonas
Conidae,family,1,4.97,4.97,45,Caenogastropoda > Neogastropoda > Conoidea,Conus(5.0),Conus
Paulinellidae,family,1,4.97,4.97,17,Imbricatea > Silicofilosea > Euglyphida,Paulinella(5.0),Paulinella
Hyaloscyphaceae,family,1,4.95,4.95,40,sordariomyceta > Leotiomycetes > Helotiales,Hyaloscypha(5.0),Hyaloscypha
Comesomatidae,family,1,4.86,4.86,16,Chromadorea > Araeolaimida > Axonolaimoidea,Sabatieria(4.9),Sabatieria
Blastocystidae,family,1,4.8,4.8,72,Bigyra > Opalozoa > Opalinata,Blastocystis(4.8),Blastocystis
Phaeodactylaceae,family,1,4.74,4.74,15,Bacillariophyceae > Bacillariophycidae > Naviculales,Phaeodactylum(4.7),Phaeodactylum
Monodopsidaceae,family,1,4.7,4.7,39,Ochrophyta > Eustigmatophyceae > Eustigmatales,Nannochloropsis(4.7),Nannochloropsis
Edwardsiidae,family,1,4.61,4.61,14,Anthozoa > Hexacorallia > Actiniaria,Nematostella(4.6),Nematostella
Nectriaceae,family,1,4.54,4.54,466,Sordariomycetes > Hypocreomycetidae > Hypocreales,Gibberella(4.5),Gibberella
Eimeriidae,family,1,4.54,4.54,68,Coccidia > Eucoccidiorida > Eimeriorina,Eimeria1(4.5),Eimeria1
Cafeteriaceae,family,1,4.41,4.41,18,Bigyra > Opalozoa > Bicosoecida,Cafeteria(4.4),Cafeteria
Chydoridae,family,1,4.32,4.32,12,Diplostraca > Cladocera > Anomopoda,Chydorus(4.3),Chydorus
Aphelidiaceae,family,1,4.32,4.32,12,Opisthokonta > Aphelida > Aphelidea,Aphelidium(4.3),Aphelidium
Temoridae,family,1,4.28,4.28,21,Neocopepoda > Gymnoplea > Calanoida,Eurytemora(4.3),Eurytemora
Russulaceae,family,1,4.25,4.25,71,Agaricomycetes > Agaricomycetes incertae sedis > Russulales,Russula(4.2),Russula
Brassicaceae,family,1,4.04,4.04,30,rosids > malvids > Brassicales,Arabidopsis(4.0),Arabidopsis
Coelomomycetaceae,family,1,4.0,4.0,10,Blastocladiomycota > Blastocladiomycetes > Blastocladiales,Coelomomyces(4.0),Coelomomyces
Trichosporonaceae,family,1,3.96,3.96,42,Agaricomycotina > Tremellomycetes > Trichosporonales,Trichosporon(4.0),Trichosporon
Teratosphaeriaceae,family,1,3.84,3.84,29,Dothideomycetes > Dothideomycetidae > Mycosphaerellales,Teratosphaeria(3.8),Teratosphaeria
Ricinidae,family,1,3.83,3.83,13,Psocodea > Phthiraptera > Amblycera,Ricinus(3.8),Ricinus
Blastocladiaceae,family,1,3.81,3.81,16,Blastocladiomycota > Blastocladiomycetes > Blastocladiales,Allomyces(3.8),Allomyces
Cryptosporidiidae,family,1,3.77,3.77,50,Coccidia > Eucoccidiorida > Eimeriorina,Cryptosporidium1(3.8),Cryptosporidium1
Chromulinaceae,family,1,3.7,3.7,12,Ochrophyta > Chrysophyceae > Chromulinales,Spumella(3.7),Spumella
Balamuthiidae,family,1,3.62,3.62,8,Discosea > Longamoebia > Centramoebida,Balamuthia(3.6),Balamuthia
Entylomatales,order,1,3.62,3.62,8,Basidiomycota > Ustilaginomycotina > Exobasidiomycetes,Tilletiopsis(3.6),Tilletiopsis
Onygenaceae,family,1,3.55,3.55,11,Eurotiomycetes > Eurotiomycetidae > Onygenales,Coccidioides(3.6),Coccidioides
Chloropicaceae,family,1,3.43,3.43,15,Chlorophyta > Chloropicophyceae > Chloropicales,Chloropicon(3.4),Chloropicon
Psoraceae,family,1,3.4,3.4,10,Lecanoromycetidae > Lecanorales > Lecanorineae,Psora(3.4),Psora
Chytriomycetaceae,family,1,3.33,3.33,12,Chytridiomycota incertae sedis > Chytridiomycetes > Chytridiales,Rhizoclosmatium(3.3),Rhizoclosmatium
Ostreidae,family,1,3.2,3.2,13,Pteriomorphia > Ostreida > Ostreoidea,Crassostrea(3.2),Crassostrea
Mycosphaerellaceae,family,1,3.14,3.14,16,Dothideomycetes > Dothideomycetidae > Mycosphaerellales,Zymoseptoria(3.1),Zymoseptoria
Pelagiidae,family,1,2.99,2.99,13,Cnidaria > Scyphozoa > Semaeostomeae,Chrysaora(3.0),Chrysaora
Peloderinae,subfamily,1,2.94,2.94,57,Rhabditomorpha > Rhabditoidea > Rhabditidae,Caenorhabditis(2.9),Caenorhabditis
Aphrophoridae,family,1,2.89,2.89,5,Auchenorrhyncha > Cicadomorpha > Cercopoidea,Philaenus(2.9),Philaenus
Phyllocoptinae,subfamily,1,2.89,2.89,5,Eupodina > Eriophyoidea > Eriophyidae,Aculops(2.9),Aculops
Homininae,subfamily,1,2.89,2.89,5,Catarrhini > Hominoidea > Hominidae,Homo(2.9),Homo
Polychytriales,order,1,2.89,2.89,5,Chytridiomycota > Chytridiomycota incertae sedis > Chytridiomycetes,Polychytrium(2.9),Polychytrium
Taphrinaceae,family,1,2.85,2.85,17,Taphrinomycotina > Taphrinomycetes > Taphrinales,Taphrina(2.8),Taphrina
Babesiidae,family,1,2.81,2.81,20,Apicomplexa > Aconoidasida > Piroplasmida,Babesiidae.U.genus(2.8),Babesiidae.U.genus
Chlamydomonadaceae,family,1,2.67,2.67,23,Chlorophyceae > CS clade > Chlamydomonadales,Chlamydomonas(2.7),Chlamydomonas
Acartiidae,family,1,2.57,2.57,4,Neocopepoda > Gymnoplea > Calanoida,Acartia(2.6),Acartia
Campopleginae,subfamily,1,2.57,2.57,4,Apocrita > Ichneumonoidea > Ichneumonidae,Venturia(2.6),Venturia
Saprolegniaceae,family,1,2.38,2.38,5,Stramenopiles > Oomycota > Saprolegniales,Saprolegnia(2.4),Saprolegnia
Mrakiaceae,family,1,2.32,2.32,11,Agaricomycotina > Tremellomycetes > Cystofilobasidiales,Mrakia(2.3),Mrakia
Strigomonadinae,subfamily,1,2.31,2.31,6,Metakinetoplastina > Trypanosomatida > Trypanosomatidae,Strigomonas(2.3),Strigomonas
Pooideae,subfamily,1,2.29,2.29,7,Poales > Poaceae > BOP clade,Brachypodium(2.3),Brachypodium
Sigmoideomycetaceae,family,1,2.18,2.18,3,Zoopagomycotina > Zoopagomycetes > Zoopagales,Thamnocephalis(2.2),Thamnocephalis
Barbatosphaeriaceae,family,1,2.18,2.18,3,Sordariomycetes > Sordariomycetidae > Barbatosphaeriales,Tectonidula(2.2),Tectonidula
Dermateaceae,family,1,2.18,2.18,3,sordariomyceta > Leotiomycetes > Helotiales,Neofabraea(2.2),Neofabraea
Xenopodinae,subfamily,1,1.86,1.86,5,Anura > Pipoidea > Pipidae,Xenopus(1.9),Xenopus
Anguininae,subfamily,1,1.8,1.8,4,Tylenchomorpha > Sphaerularioidea > Anguinidae,Ditylenchus(1.8),Ditylenchus
Cecidomyiinae,subfamily,1,1.69,1.69,2,Bibionomorpha > Sciaroidea > Cecidomyiidae,Mayetiola(1.7),Mayetiola
Coniophoraceae,family,1,1.69,1.69,2,Agaricomycetidae > Boletales > Coniophorineae,Coniophora(1.7),Coniophora
Cyanidiaceae,family,1,1.69,1.69,2,Rhodophyta > Bangiophyceae > Cyanidiales,Cyanidioschyzon(1.7),Cyanidioschyzon
