node,rank,num_genera,total_priority_score,avg_priority_score,total_otu,path,top_genera,all_genera
Ploima,order,2,19.91,9.96,22,Eurotatoria > Monogononta > Pseudotrocha,"Encentrum(11.0), Ascomorpha(8.9)",Encentrum;Ascomorpha
Collodaria,order,2,19.62,9.81,44,Rhizaria > Retaria > Polycystinea,"Collophidium(13.1), Sphaerozoum(6.5)",Collophidium;Sphaerozoum
Tylenchina,suborder,3,19.49,6.5,241,Nematoda > Chromadorea > Rhabditida,"Plectonchus(9.8), Heterodera(7.9), Ditylenchus(1.8)",Plectonchus;Heterodera;Ditylenchus
Dysteriida,order,2,19.38,9.69,28,Intramacronucleata > Phyllopharyngea > Phyllopharyngia,"Trochilia(12.0), Hartmannulidae_X(7.4)",Trochilia;Hartmannulidae_X
Eriophyoidea,superfamily,3,19.28,6.43,25,Trombidiformes > Prostigmata > Eupodina,"Diptilomiopus(11.4), Surapoda(5.0), Aculops(2.9)",Diptilomiopus;Surapoda;Aculops
Euglenaceae,family,1,18.36,18.36,470,Spirocuta > Euglenophyceae > Euglenales,Trachelomonas(18.4),Trachelomonas
Ensiculiferaceae,family,1,18.34,18.34,466,Alveolata > Dinophyceae > Peridiniales,Pentapharsodinium(18.3),Pentapharsodinium
Hemiptera,order,3,17.81,5.94,59,Pterygota > Neoptera > Paraneoptera,"Cryptococcus(8.5), Acyrthosiphon(6.4), Philaenus(2.9)",Cryptococcus;Acyrthosiphon;Philaenus
Mastigamoebidae,family,1,17.7,17.7,1609,Evosea > Archamoebae > Mastigamoebida,Mastigamoeba(17.7),Mastigamoeba
Paramoebidae,family,2,17.26,8.63,54,Discosea > Flabellinia > Dactylopodida,"Korotnevella(12.7), Paramoeba(4.6)",Korotnevella;Paramoeba
Dileptidae,family,1,17.02,17.02,253,Litostomatea > Haptoria > Haptorida,Dileptidae_X(17.0),Dileptidae_X
Psathyrellaceae,family,1,16.68,16.68,217,Agaricomycetidae > Agaricales > Agaricineae,Drosophila(16.7),Drosophila
Eimeriorina,suborder,3,16.61,5.54,194,Conoidasida > Coccidia > Eucoccidiorida,"Sarcocystis10(8.3), Eimeria1(4.5), Cryptosporidium1(3.8)",Sarcocystis10;Eimeria1;Cryptosporidium1
Nassellaria,order,1,16.6,16.6,209,Rhizaria > Retaria > Polycystinea,Nassellaria.U.genus(16.6),Nassellaria.U.genus
Lecideaceae,family,2,16.51,8.25,93,OSLEUM clade > Lecanoromycetidae > Lecideales,"Bellemerea(14.8), Lecidea(1.7)",Bellemerea;Lecidea
Cordycipitaceae,family,2,16.28,8.14,289,Sordariomycetes > Hypocreomycetidae > Hypocreales,"Lecanicillium(8.4), Isaria(7.9)",Lecanicillium;Isaria
Longamoebia,order,3,16.12,5.37,115,Eukaryota > Amoebozoa > Discosea,"Protacanthamoeba(7.4), Acanthamoeba(5.1), Balamuthia(3.6)",Protacanthamoeba;Acanthamoeba;Balamuthia
Perkinsida,order,2,15.97,7.99,48,Alveolata > Perkinsozoa > Perkinsea,"Gadixcellia(11.4), Perkinsida_X.U.genus(4.6)",Gadixcellia;Perkinsida_X.U.genus
Plagiopyxidae,family,1,15.89,15.89,151,Elardia > Arcellinida > Difflugina,Bullinularia(15.9),Bullinularia
Discinellaceae,family,2,15.59,7.79,31,sordariomyceta > Leotiomycetes > Helotiales,"Tetrachaetum(10.4), Articulospora(5.2)",Tetrachaetum;Articulospora
Monocystidae,family,1,15.59,15.59,131,Conoidasida > Gregarinasina > Eugregarinorida,Monocystis(15.6),Monocystis
Chlamydomonadales,order,3,15.43,5.14,217,core chlorophytes > Chlorophyceae > CS clade,"Spermatozopsis(7.4), Chlamydomonadales_X.U.genus(5.4), Chlamydomonas(2.7)",Spermatozopsis;Chlamydomonadales_X.U.genus;Chlamydomonas
Stylonychinae,subfamily,1,15.23,15.23,800,Stichotrichia > Sporadotrichida > Oxytrichidae,Stylonychia(15.2),Stylonychia
Psalteriomonadidae,family,1,15.17,15.17,108,Heterolobosea > Tetramitia > Eutetramitia,Sawyeria(15.2),Sawyeria
Sternorrhyncha,suborder,2,14.92,7.46,54,Neoptera > Paraneoptera > Hemiptera,"Cryptococcus(8.5), Acyrthosiphon(6.4)",Cryptococcus;Acyrthosiphon
