taxon_name,level,novelty_factor,taxid,lineage,lineage_taxids
Roseibium,genus,0.125,150830,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Stappiaceae;Roseibium,131567;2;3379134;1224;28211;356;2821832;150830
Thermus,genus,2.139,270,cellular organisms;Bacteria;Thermotogati;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus,131567;2;3384194;1297;188787;68933;188786;270
Thauera,genus,2.97,33057,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera,131567;2;3379134;1224;28216;206389;2008794;33057
Roseomonas,genus,4.364,125216,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Acetobacterales;Roseomonadaceae;Roseomonas,131567;2;3379134;1224;28211;3120395;3385906;125216
Kluyvera,genus,0.455,579,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kluyvera,131567;2;3379134;1224;1236;91347;543;579
Janthinobacterium,genus,0.724,29580,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium,131567;2;3379134;1224;28216;80840;75682;29580
Megamonas,genus,4.7,158846,cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Megamonas,131567;2;1783272;1239;909932;909929;1843491;158846
Rhizomicrobium,genus,2.0,1241326,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Micropepsales;Micropepsaceae;Rhizomicrobium,131567;2;3379134;1224;28211;1921567;1921568;1241326
Empedobacter,genus,0.5,59734,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Empedobacter,131567;2;3379134;1783270;68336;976;117743;200644;2762318;59734
Tetragenococcus,genus,0.75,51668,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus,131567;2;1783272;1239;91061;186826;81852;51668
Lentilitoribacter,genus,1.333,1649463,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Lentilitoribacter,131567;2;3379134;1224;28211;356;82115;1649463
Thalassospira,genus,1.02,168934,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira,131567;2;3379134;1224;28211;204441;2844866;168934
Ramlibacter,genus,2.2,174951,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Ramlibacter,131567;2;3379134;1224;28216;80840;80864;174951
Algoriphagus,genus,1.762,246875,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus,131567;2;3379134;1783270;68336;976;768503;768507;563798;246875
Terracidiphilus,genus,0.667,1768185,cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Terriglobales;Acidobacteriaceae;Terracidiphilus,131567;2;3379134;57723;204432;204433;204434;1768185
Pseudarthrobacter,genus,0.842,1742993,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Pseudarthrobacter,131567;2;1783272;201174;1760;85006;1268;1742993
Anaerolinea,genus,28.0,233189,cellular organisms;Bacteria;Bacillati;Chloroflexota;Anaerolineae;Anaerolineales;Anaerolineaceae;Anaerolinea,131567;2;1783272;200795;292625;292629;292628;233189
Draconibacterium,genus,9.75,1471399,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Marinilabiliales;Prolixibacteraceae;Draconibacterium,131567;2;3379134;1783270;68336;976;200643;1970189;1471398;1471399
Paraclostridium,genus,1.75,1849822,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Paraclostridium,131567;2;1783272;1239;186801;3082720;186804;1849822
Aquimarina,genus,0.607,290174,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina,131567;2;3379134;1783270;68336;976;117743;200644;49546;290174
Cryobacterium,genus,0.098,69578,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Cryobacterium,131567;2;1783272;201174;1760;85006;85023;69578
Methanoregula,genus,4.19,395331,cellular organisms;Archaea;Methanobacteriati;Methanobacteriota;Stenosarchaea group;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula,131567;2157;3366610;28890;2290931;224756;2191;1198451;395331
Eisenbergiella,genus,2.867,1432051,cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Eisenbergiella,131567;2;1783272;1239;186801;3085636;186803;1432051
Paludibacter,genus,14.545,346096,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;Paludibacter,131567;2;3379134;1783270;68336;976;200643;171549;2005523;346096
Leucobacter,genus,1.149,55968,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leucobacter,131567;2;1783272;201174;1760;85006;85023;55968
Tannerella,genus,6.3,195950,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Tannerella,131567;2;3379134;1783270;68336;976;200643;171549;2005525;195950
Hafnia,genus,0.857,568,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia,131567;2;3379134;1224;1236;91347;1903412;568
Dietzia,genus,0.755,37914,cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Dietziaceae;Dietzia,131567;2;1783272;201174;1760;85007;85029;37914
Idiomarina,genus,1.358,135575,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Idiomarinaceae;Idiomarina,131567;2;3379134;1224;1236;135622;267893;135575
Nitrososphaera,genus,0.308,497726,cellular organisms;Archaea;Thermoproteati;Nitrososphaerota;Nitrososphaeria;Nitrososphaerales;Nitrososphaeraceae;Nitrososphaera,131567;2157;1783275;651137;1643678;1033996;1033997;497726
Myroides,genus,1.065,76831,cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Myroides,131567;2;3379134;1783270;68336;976;117743;200644;49546;76831
Caballeronia,genus,0.095,1827195,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia,131567;2;3379134;1224;28216;80840;119060;1827195
Methylophaga,genus,1.055,40222,cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Piscirickettsiaceae;Methylophaga,131567;2;3379134;1224;1236;72273;135616;40222
