genus,nf,otu_count,priority_score
uncultured_deep-sea_bacterium.Mitochondria,inf,5,8.49
Lentimicrobium,38.2,191,8.47
Roseburia,14.241,826,8.44
Sulfurovum,15.39,631,8.31
Pseudohongiella,31.0,217,8.31
Gemmata,30.143,211,8.24
Alloprevotella,29.857,209,8.22
Paludibaculum,43.333,130,8.21
Roseimarinus,70.0,70,8.09
Vulcanithermus,inf,4,8.01
Geothermomicrobium,inf,4,8.01
Aerosphaera,inf,4,8.01
Sinibacillus,inf,4,8.01
Rhabdothermus,inf,4,8.01
Salimesophilobacter,inf,4,8.01
Desertibacter,inf,4,8.01
Limnolyngbya,inf,4,8.01
Halospirulina,inf,4,8.01
Loriellopsis,inf,4,8.01
Thiophaeococcus,inf,4,8.01
Arthronema,inf,4,8.01
Phaeodactylibacter,34.0,136,7.93
Puniceicoccus,65.0,65,7.91
Bdellovibrio,14.281,457,7.89
Anaerolinea,28.0,168,7.89
Prevotella,6.357,1869,7.7
Opitutus,27.4,137,7.65
Puia,30.25,121,7.65
Succiniclasticum,34.0,102,7.62
Caldicoprobacter,25.0,150,7.62
Faecalibacterium,9.162,733,7.58
Rhodopirellula,15.722,283,7.58
Lachnoclostridium,9.951,607,7.56
Terrimonas,22.571,158,7.53
Ferruginibacter,19.4,194,7.52
Fusibacter,19.2,192,7.5
Iamia,32.333,97,7.5
Rubrobacter,17.583,211,7.46
Limibaculum,38.5,77,7.46
Treponema,7.313,980,7.44
Terrimicrobium,38.0,76,7.43
Sulfurifustis,38.0,76,7.43
Citrifermentans,37.5,75,7.4
Nitrospina,17.636,194,7.39
Phyllonema,inf,3,7.39
Coenonia,inf,3,7.39
Ammoniibacillus,inf,3,7.39
Rhabdanaerobium,inf,3,7.39
Abyssivirga,inf,3,7.39
Actinorectispora,inf,3,7.39
Caloribacterium,inf,3,7.39
Fluviimonas,inf,3,7.39
Spirillum,inf,3,7.39
Geothermobacterium,inf,3,7.39
Albibacter,inf,3,7.39
Radiocystis,inf,3,7.39
Chalicogloea,inf,3,7.39
Petalonema,inf,3,7.39
Coccinimonas,inf,3,7.39
Spongiiferula,inf,3,7.39
Thermotunica,inf,3,7.39
Fonticella,52.0,52,7.38
Desulfocapsa,24.4,122,7.37
Blautia,6.454,1123,7.33
Pseudahrensia,51.0,51,7.33
Thermovirga,29.667,89,7.29
Moryella,49.0,49,7.24
Desulfonema,25.25,101,7.22
Flavisolibacter,19.571,137,7.19
Luteolibacter,13.812,221,7.16
Lewinella,17.444,157,7.16
Fimbriiglobus,28.0,84,7.16
Fusicatenibacter,17.222,155,7.13
Nitratifractor,27.667,83,7.13
Lutispora,27.333,82,7.1
Desulfovermiculus,32.5,65,7.07
Anaeroplasma,26.667,80,7.04
Schleiferia,45.0,45,7.04
Acanthopleuribacter,45.0,45,7.04
Tepidimicrobium,32.0,64,7.03
Endomicrobium,17.125,137,7.01
Syntrophobacter,19.167,115,6.99
Sandaracinus,26.0,78,6.98
Acholeplasma,14.25,171,6.96
Syntrophorhabdus,14.727,162,6.96
Pseudofulvibacter,43.0,43,6.94
Paludibacter,14.545,160,6.93
Pseudolabrys,22.25,89,6.92
Dethiobacter,25.333,76,6.92
Ahniella,30.5,61,6.92
Ruminiclostridium,10.44,261,6.9
Enterorhabdus,21.5,86,6.84
Fermentimonas,29.5,59,6.84
Tundrisphaera,29.5,59,6.84
Bauldia,24.333,73,6.83
Leptolinea,14.3,143,6.8
Desulfitibacter,29.0,58,6.8
Oxobacter,29.0,58,6.8
Halioglobus,17.5,105,6.78
Sulfurimonas,6.753,493,6.76
Cytophaga,18.8,94,6.76
Sideroxydans,16.0,112,6.72
Vicingus,23.0,69,6.7
Sulfuritalea,22.667,68,6.67
Persicirhabdus,38.0,38,6.66
Desulfobacca,16.5,99,6.64
Dinghuibacter,27.0,54,6.64
Lautropia,15.143,106,6.6
Sedimentibacter,11.133,167,6.6
Rhodovastum,37.0,37,6.6
Guggenheimella,37.0,37,6.6
Sphaerochaeta,9.667,203,6.57
Fretibacterium,19.0,76,6.56
Bacteroides,4.077,1166,6.55
Anaerostipes,9.571,201,6.54
Conexibacter,11.143,156,6.54
Thiogranum,21.333,64,6.54
Holospora,18.75,75,6.54
Aquisphaera,21.333,64,6.54
Amazoninema,inf,2,6.51
Halophibacterium,inf,2,6.51
Cosenzaea,inf,2,6.51
Alkalilactibacillus,inf,2,6.51
Oscillatoriales_cyanobacterium_HF1.Chloroplast,inf,2,6.51
Wautersiella,inf,2,6.51
Lutaonella,inf,2,6.51
Tellurimicrobium,inf,2,6.51
Desulfoarculus,inf,2,6.51
Natronovirga,inf,2,6.51
Oxalophagus,inf,2,6.51
Spongiimonas,inf,2,6.51
Massiliprevotella,inf,2,6.51
Spongiispira,inf,2,6.51
Thioalkalibacter,inf,2,6.51
Trigonala,inf,2,6.51
Butyratibacter,inf,2,6.51
Vibrionimonas,inf,2,6.51
Natronoanaerobium,inf,2,6.51
Dechlorospirillum,inf,2,6.51
Neolyngbya,inf,2,6.51
Macrochaete,inf,2,6.51
Cephalothrix,inf,2,6.51
Pseudophormidium,inf,2,6.51
Antarcticimonas,inf,2,6.51
Salinovum,inf,2,6.51
Nitrobacteria,inf,2,6.51
Frondibacter,inf,2,6.51
Taeania,inf,2,6.51
Metabacterium,inf,2,6.51
Corallomonas,inf,2,6.51
Blennothrix,inf,2,6.51
Leptospirillum,13.75,110,6.5
Magnetococcus,11.667,140,6.5
Desulfomonile,20.667,62,6.47
Thiohalophilus,20.667,62,6.47
Magnetospira,20.667,62,6.47
Desulfobulbus,10.714,150,6.45
Defluviicoccus,16.2,81,6.43
Brevinema,20.333,61,6.43
Mogibacterium,13.125,105,6.4
Roseibacillus,16.0,80,6.4
Solirubrobacter,12.444,112,6.39
Papillibacter,20.0,60,6.39
Arenimonas,9.444,170,6.38
Anaeromyxobacter,9.444,170,6.38
Dialister,8.81,185,6.35
Desulfovibrio,5.31,462,6.32
Roseiarcus,19.333,58,6.32
Planctopirus,19.333,58,6.32
Lactobacillus,4.079,828,6.31
Phascolarctobacterium,11.5,115,6.31
Segetibacter,15.2,76,6.29
Ruminococcus,3.621,1003,6.24
Crenothrix,16.25,65,6.22
Portibacter,18.333,55,6.2
Alistipes,4.988,424,6.16
Leptotrichia,7.708,185,6.16
Cephaloticoccus,18.0,54,6.16
Taibaiella,11.75,94,6.15
Nordella,21.5,43,6.14
Pelolinea,17.667,53,6.12
Crocinitomix,14.0,70,6.11
Haemophilus,5.171,362,6.1
Amphiplicatus,21.0,42,6.09
Sporocytophaga,21.0,42,6.09
Gallionella,10.556,95,6.03
Thermobacillus,14.75,59,6.01
Porphyromonas,6.135,227,6.0
Thermoflexus,12.333,74,6.0
Chryseolinea,11.571,81,6.0
Desulfosporosinus,6.111,220,5.97
Fusobacterium,4.75,361,5.96
Quinella,13.0,65,5.95
Shuttleworthia,14.25,57,5.94
Chthonomonas,7.136,157,5.92
Thermincola,16.0,48,5.91
Deferrisoma,16.0,48,5.91
Acidibacillus,27.0,27,5.91
Coprothermobacter,14.0,56,5.9
Oscillibacter,6.72,168,5.89
Legionella,4.219,405,5.86
Reyranella,10.857,76,5.86
Erysipelothrix,6.864,151,5.84
Altererythrobacter,6.25,175,5.82
Bergeyella,11.333,68,5.82
Dolosigranulum,15.333,46,5.82
Ohtaekwangia,13.5,54,5.82
Desulfurispora,18.5,37,5.82
Marinoscillum,10.571,74,5.81
Holdemanella,9.444,85,5.79
Mariprofundus,7.929,111,5.78
Bacteriovorax,8.636,95,5.77
Anaerospora,18.0,36,5.77
Hyphomicrobium,5.966,173,5.75
Draconibacterium,9.75,78,5.75
Ichthyobacterium,25.0,25,5.75
Singulisphaera,10.143,71,5.72
Cerasicoccus,12.75,51,5.7
Roseimicrobium,14.333,43,5.68
Tepidisphaera,24.0,24,5.67
Halocella,24.0,24,5.67
Methyloparacoccus,24.0,24,5.67
Gemella,6.04,151,5.66
Filomicrobium,12.5,50,5.66
Macellibacteroides,12.5,50,5.66
Flexilinea,17.0,34,5.65
Nitrolancea,17.0,34,5.65
Cryomorpha,17.0,34,5.65
Rhodocytophaga,17.0,34,5.65
Brachymonas,9.714,68,5.63
Turneriella,14.0,42,5.63
Lawsonella,14.0,42,5.63
Thermoanaerobaculum,14.0,42,5.63
Planctomicrobium,9.571,67,5.6
Adhaeribacter,7.5,90,5.54
Desulfuromusa,13.333,40,5.53
Parasutterella,9.833,59,5.52
Actinospica,10.6,53,5.52
Rhodobaculum,22.0,22,5.49
Dethiosulfatibacter,15.5,31,5.46
Streptococcus,2.082,1316,5.43
Dorea,4.684,178,5.43
Caproiciproducens,7.6,76,5.42
Ilumatobacter,8.25,66,5.4
Tumebacillus,8.25,66,5.4
Nitrospira,3.171,390,5.39
Vulgatibacter,15.0,30,5.39
Occallatibacter,9.167,55,5.38
Steroidobacter,8.571,60,5.37
Succinivibrio,9.8,49,5.36
Turicibacter,6.125,98,5.35
Tissierella,6.0,102,5.35
Acidaminobacter,10.75,43,5.35
Dokdonella,8.0,64,5.34
Cardiobacterium,9.0,54,5.34
Crossiella,8.0,64,5.34
Selenomonas,4.556,164,5.33
Thiobacillus,5.037,136,5.33
Limnobacter,5.429,114,5.3
Anaerosporobacter,10.5,42,5.3
Denitratisoma,10.5,42,5.3
Pseudofulvimonas,20.0,20,5.29
Caminicella,20.0,20,5.29
Veillonella,3.603,245,5.28
Zoogloea,7.75,62,5.28
Thiothrix,5.381,113,5.28
Catenibacterium,6.214,87,5.27
Sarcina,9.4,47,5.27
Rhodomicrobium,8.143,57,5.27
Geobacter,4.5,153,5.26
Pseudarcicella,11.667,35,5.26
Caldithrix,10.25,41,5.25
Caldanaerobacter,14.0,28,5.25
Ornatilinea,14.0,28,5.25
Aquabacterium,5.35,107,5.24
Smithella,5.933,89,5.23
Desulfuromonas,6.231,81,5.22
Sediminibacterium,5.867,88,5.21
Lentimonas,7.5,60,5.21
Roseomonas,3.84,192,5.2
Negativibacillus,10.0,40,5.2
Polycyclovorans,11.333,34,5.2
Haloplasma,11.333,34,5.2
Schlesneria,9.0,45,5.19
Ulvibacter,7.857,55,5.19
Howardella,19.0,19,5.19
Aetherobacter,19.0,19,5.19
Oscillospira,19.0,19,5.19
Flexithrix,19.0,19,5.19
Acidicaldus,19.0,19,5.19
Peptoclostridium,7.714,54,5.16
Rhodobacter,4.387,136,5.15
Acidiphilium,4.72,118,5.14
Cloacibacterium,7.25,58,5.14
Desulforhopalus,8.167,49,5.14
Dactylococcopsis,13.0,26,5.11
Desulfatirhabdium,13.0,26,5.11
Rikenella,9.5,38,5.1
Caldicellulosiruptor,5.846,76,5.09
Litorilinea,10.667,32,5.08
Geothermobacter,10.667,32,5.08
Lactococcus,3.733,168,5.07
Capnocytophaga,3.81,160,5.07
Halanaerobium,5.312,85,5.05
Caldisericum,8.4,42,5.05
Gracilibacter,8.4,42,5.05
Tannerella,6.3,63,5.04
Jatrophihabitans,6.3,63,5.04
Dongia,6.875,55,5.03
Robiginitomaculum,10.333,31,5.02
Haliscomenobacter,10.333,31,5.02
Kordiimonas,5.5,77,5.02
Desulfopila,7.667,46,5.02
Planktomarina,9.0,36,5.0
Dapisostemon,inf,1,5.0
Romeria,inf,1,5.0
Cellulosibacter,inf,1,5.0
Astrosporangium,inf,1,5.0
Porphyrosiphon,inf,1,5.0
Racemicystis,inf,1,5.0
Jahnella,inf,1,5.0
Arenimicrobium,inf,1,5.0
Brevitalea,inf,1,5.0
uncultured_marine_bacterium.Chloroplast,inf,1,5.0
Caldanaerocella,inf,1,5.0
Annwoodia,inf,1,5.0
Polygonibacillus,inf,1,5.0
Fermentibacillus,inf,1,5.0
Tonsilliphilus,inf,1,5.0
Kofleria,inf,1,5.0
Natranaerobaculum,inf,1,5.0
Sufflavibacter,inf,1,5.0
Sporobacterium,inf,1,5.0
Parastreptomyces,inf,1,5.0
Neoscardovia,inf,1,5.0
Aureimarina,inf,1,5.0
Bifissio,inf,1,5.0
Coraliitalea,inf,1,5.0
Niveitalea,inf,1,5.0
Salilacibacter,inf,1,5.0
Swionibacillus,inf,1,5.0
Limnococcus,inf,1,5.0
Maripseudobacter,inf,1,5.0
Lutibacterium,inf,1,5.0
Taeseokella,inf,1,5.0
Garritya,inf,1,5.0
Rudaibacter,inf,1,5.0
Pseudoroseobacter,inf,1,5.0
Algorimarina,inf,1,5.0
Ancalomicrobium,inf,1,5.0
Tropicihabitans,inf,1,5.0
Toxopsis,inf,1,5.0
Sediminitalea,inf,1,5.0
Ilumomonas,inf,1,5.0
Dermocarpella,inf,1,5.0
Caecibacterium,inf,1,5.0
Thiolamprovum,inf,1,5.0
Desulfosporomusa,inf,1,5.0
Spongitalea,inf,1,5.0
Starria,inf,1,5.0
Wollea,inf,1,5.0
Isochromatium,inf,1,5.0
Methylosphaera,inf,1,5.0
Nanobacterium,inf,1,5.0
Desulfohalophilus,inf,1,5.0
Xanthobacillum,inf,1,5.0
Cyanoarbor,inf,1,5.0
Foliisarcina,inf,1,5.0
Erythromicrobium,inf,1,5.0
Ascidianibacter,inf,1,5.0
Paraphaeobacter,inf,1,5.0
Huanghella,inf,1,5.0
Averyella,inf,1,5.0
Thioalkalispira,inf,1,5.0
Phaeochromatium,inf,1,5.0
Thermopallium,inf,1,5.0
Paralkalibacillus,inf,1,5.0
Fulvibacter,inf,1,5.0
Litorisediminivivens,inf,1,5.0
Coetzeea,inf,1,5.0
Rarimicrobium,inf,1,5.0
Leahibacter,inf,1,5.0
Salsuginimonas,inf,1,5.0
Marseillibacter,inf,1,5.0
Roseibacula,inf,1,5.0
Ewamiania,inf,1,5.0
Reichenowia,inf,1,5.0
Clonothrix,inf,1,5.0
Symphyonema,inf,1,5.0
Chakia,inf,1,5.0
Aurantiacicella,inf,1,5.0
Pseudocapsa,inf,1,5.0
Pseudomaribius,inf,1,5.0
Aestuariihabitans,inf,1,5.0
Sinorickettsia,inf,1,5.0
Oceanobacterium,inf,1,5.0
Haloleptolyngbya,inf,1,5.0
Sodaleptolyngbya,inf,1,5.0
Boyliae,inf,1,5.0
Komvophoron,inf,1,5.0
Planktolyngbya,inf,1,5.0
Cyanospira,inf,1,5.0
Camptylonemopsis,inf,1,5.0
Koukoulia,inf,1,5.0
Spongiobacter,inf,1,5.0
Hydrocoryne,inf,1,5.0
Tiedjeia,inf,1,5.0
Clostridium,1.708,1127,4.99
Methylotenera,5.357,75,4.97
Anaerococcus,3.643,153,4.97
Marinifilum,5.667,68,4.97
Exilispira,17.0,17,4.97
Anaerobacterium,17.0,17,4.97
Desulfocarbo,17.0,17,4.97
Clostridiisalibacter,17.0,17,4.97
Sphingoaurantiacus,17.0,17,4.97
Rhodoplanes,5.818,64,4.95
Methyloprofundus,12.0,24,4.95
Oryzihumus,12.0,24,4.95
Defluviitalea,10.0,30,4.95
Gelria,12.0,24,4.95
Luteitalea,8.75,35,4.94
Oribacterium,4.292,103,4.92
Flavobacterium,1.663,1041,4.9
Desulfobacter,6.375,51,4.89
Vampirovibrio,9.667,29,4.89
Salinispira,9.667,29,4.89
Butyrivibrio,3.275,167,4.88
Peptococcus,8.5,34,4.88
Silvanigrella,8.5,34,4.88
Nannocystis,5.8,58,4.87
Longimicrobium,11.5,23,4.87
Armatimonas,11.5,23,4.87
Isosphaera,11.5,23,4.87
Hypnocyclicus,16.0,16,4.86
Coprococcus,3.05,183,4.84
Owenweeksia,8.25,33,4.83
Caminibacter,8.25,33,4.83
Pelosinus,5.889,53,4.82
Syntrophomonas,3.234,152,4.8
Sulfobacillus,6.429,45,4.8
Phreatobacter,6.429,45,4.8
Hirschia,7.4,37,4.8
Anaerofustis,6.833,41,4.79
Aridibacter,11.0,22,4.78
Dielma,11.0,22,4.78
Luedemannella,11.0,22,4.78
Pedosphaera,8.0,32,4.77
Atopostipes,8.0,32,4.77
Desulfobacterium,8.0,32,4.77
Solobacterium,4.667,70,4.75
Prosthecobacter,5.667,51,4.75
Cocleimonas,6.667,40,4.75
Caldimicrobium,9.0,27,4.75
Rubellimicrobium,5.667,51,4.75
Thiohalorhabdus,9.0,27,4.75
Ferribacterium,15.0,15,4.74
Thermobrachium,15.0,15,4.74
Cnuella,15.0,15,4.74
Constrictibacter,15.0,15,4.74
Propionivibrio,6.143,43,4.71
Magnetovibrio,7.75,31,4.71
Skermanella,6.143,43,4.71
Noviherbaspirillum,3.833,92,4.69
Frisingicoccus,10.5,21,4.69
Tistlia,10.5,21,4.69
Pseudohaliea,10.5,21,4.69
Sulfuricurvum,4.0,84,4.68
Symbiobacterium,8.667,26,4.68
Actinomyces,2.349,256,4.67
Aggregatibacter,5.0,55,4.66
Azoarcus,4.571,64,4.66
Alteromonas,2.254,275,4.65
Paraprevotella,6.333,38,4.65
Rubritalea,5.625,45,4.64
Telmatospirillum,7.5,30,4.64
Saprospira,8.333,25,4.61
Thiohalocapsa,6.167,37,4.6
Thermotomaculum,10.0,20,4.6
Dichotomicrobium,10.0,20,4.6
Vulcanibacillus,10.0,20,4.6
Catonella,7.25,29,4.58
Aestuariibacter,7.25,29,4.58
Anoxybacillus,3.051,119,4.57
Pediococcus,4.0,68,4.54
Alkaliphilus,4.2,63,4.54
Dysgonomonas,3.026,115,4.53
Hydrogenoanaerobacterium,8.0,24,4.53
Syntrophaceticus,8.0,24,4.53
Levilinea,8.0,24,4.53
Acidisphaera,6.4,32,4.52
Ruminobacter,7.0,28,4.52
Aureispira,6.4,32,4.52
Moheibacter,6.4,32,4.52
Dehalobacterium,9.5,19,4.51
Catenisphaera,9.5,19,4.51
Flexibacter,9.5,19,4.51
Pasteuria,9.5,19,4.51
Nocardioides,1.615,533,4.5
Anaerovibrio,5.833,35,4.49
Desulfurivibrio,5.833,35,4.49
Megamonas,4.7,47,4.47
Sedimenticola,4.143,58,4.47
Alcaligenes,3.094,99,4.47
Thermosporothrix,13.0,13,4.47
Thiofaba,13.0,13,4.47
Phenylobacterium,2.946,109,4.46
Dechloromonas,3.5,77,4.46
Parabacteroides,2.158,218,4.45
Romboutsia,3.435,79,4.45
Sulfurospirillum,3.133,94,4.45
Alkanindiges,7.667,23,4.45
Roseisolibacter,7.667,23,4.45
Solitalea,5.667,34,4.44
Rubripirellula,5.286,37,4.43
Meiothermus,4.077,53,4.39
Akkermansia,2.102,206,4.38
Desulfotignum,6.5,26,4.38
Thauera,2.882,98,4.37
Porticoccus,5.143,36,4.37
Helcococcus,4.875,39,4.37
Thermogutta,7.333,22,4.37
Tangfeifania,7.333,22,4.37
Parafrigoribacterium,7.333,22,4.37
Staphylococcus,1.3,824,4.36
Diaphorobacter,3.556,64,4.35
Desulfotomaculum,4.0,52,4.35
Actinobacillus,3.4,68,4.34
Proteiniphilum,2.531,124,4.34
Ekhidna,5.8,29,4.34
Roseiflexus,5.8,29,4.34
Barnesiella,3.588,61,4.33
Amylibacter,5.333,32,4.33
Weissella,3.037,82,4.32
Desulfomicrobium,4.182,46,4.32
Thermodesulforhabdus,12.0,12,4.32
Brassicibacter,12.0,12,4.32
Granulosicoccus,6.25,25,4.31
Corynebacterium,1.294,735,4.3
Sediminimonas,8.5,17,4.3
Planomicrobium,4.444,40,4.29
Elusimicrobium,5.6,28,4.28
Finegoldia,3.846,50,4.28
Holophaga,7.0,21,4.28
Phycisphaera,4.857,34,4.27
Proteiniclasticum,4.857,34,4.27
Halomonas,1.446,470,4.26
Endozoicomonas,2.548,107,4.26
Rhodoferax,2.667,96,4.25
Granulicella,3.087,71,4.25
Cellvibrio,3.19,67,4.25
Granulicatella,3.263,62,4.23
Nevskia,6.0,24,4.23
Desulfitobacterium,3.643,51,4.23
Cellulosilyticum,4.5,36,4.23
Parahaliea,6.0,24,4.23
Odoribacter,3.143,66,4.22
Sulfuriferula,4.714,33,4.21
Herbinix,5.0,30,4.21
Dubosiella,6.667,20,4.2
Sterolibacterium,6.667,20,4.2
Orenia,6.667,20,4.2
Algisphaera,6.667,20,4.2
Colwellia,1.966,173,4.19
Azovibrio,8.0,16,4.19
Parasediminibacterium,8.0,16,4.19
Izhakiella,8.0,16,4.19
Lachnospira,2.815,76,4.18
Formosa,3.294,56,4.17
Catenococcus,11.0,11,4.17
Irregularibacter,11.0,11,4.17
Desulfatiferula,11.0,11,4.17
Inmirania,11.0,11,4.17
Comamonas,1.953,166,4.16
Parvibaculum,4.833,29,4.15
Thermodesulfovibrio,3.5,49,4.15
Luminiphilus,5.2,26,4.14
Bilophila,5.2,26,4.14
Thermomonas,3.235,55,4.14
Petrimonas,5.2,26,4.14
Halochromatium,5.2,26,4.14
Nitrosomonas,2.4,96,4.12
Silanimonas,6.333,19,4.11
Peptoniphilus,2.283,105,4.1
Rhizobacter,3.176,54,4.1
Chroococcidiopsis,3.583,43,4.09
Oleispira,5.5,22,4.08
Niastella,3.8,38,4.08
Scytonema,3.357,47,4.08
Kouleothrix,5.5,22,4.08
Methyloglobulus,7.5,15,4.08
Oligoflexus,5.5,22,4.08
Raineya,7.5,15,4.08
Thermobaculum,7.5,15,4.08
Thermobispora,7.5,15,4.08
Salinivirga,7.5,15,4.08
Tunicatimonas,7.5,15,4.08
Anaerosporomusa,7.5,15,4.08
Propionispira,7.5,15,4.08
Limosilactobacillus,2.18,109,4.07
Massilia,1.624,229,4.07
Lysobacter,1.809,170,4.06
Psychroflexus,2.818,62,4.05
Sphingomonas,1.141,647,4.03
Butyricicoccus,2.268,93,4.02
Acidovorax,1.607,217,4.02
Pseudonocardia,1.675,191,4.02
Parafilimonas,6.0,18,4.01
Phocoenobacter,6.0,18,4.01
Herminiimonas,3.417,41,4.01
Gemmatirosa,6.0,18,4.01
Pelagicoccus,4.0,32,4.01
Sandaracinobacter,6.0,18,4.01
Plesiomonas,4.8,24,4.0
Parvimonas,3.0,51,4.0
Ignavigranum,10.0,10,4.0
Methyloterricola,10.0,10,4.0
Propionigenium,10.0,10,4.0
Rurimicrobium,10.0,10,4.0
Aestuariicoccus,10.0,10,4.0
Mucispirillum,5.25,21,3.99
Abiotrophia,5.25,21,3.99
Propioniciclava,3.778,34,3.99
Bythopirellula,5.25,21,3.99
Rhizorhapis,5.25,21,3.99
Hymenobacter,1.523,230,3.98
Leuconostoc,2.364,78,3.97
Peptostreptococcus,3.455,38,3.97
Pelotomaculum,2.652,61,3.97
Leptolyngbya,1.808,141,3.96
Anaerophaga,7.0,14,3.96
Desulfotalea,7.0,14,3.96
Sellimonas,4.333,26,3.95
Cohaesibacter,3.667,33,3.94
Acidithiobacillus,2.294,78,3.93
Ketobacter,4.6,23,3.93
Mycoplasma,1.419,254,3.92
Carboxylicivirga,3.071,43,3.92
Rhodopila,5.667,17,3.91
Bellilinea,5.667,17,3.91
Sporichthya,5.667,17,3.91
Neorickettsia,5.0,20,3.91
Persicitalea,5.667,17,3.91
Nakamurella,2.778,50,3.9
Beggiatoa,3.75,30,3.9
Haloferula,3.556,32,3.89
Tepidanaerobacter,3.556,32,3.89
Marinobacter,1.329,283,3.88
Azospirillum,1.778,128,3.88
Micrococcus,1.791,120,3.86
Pelagibius,3.857,27,3.86
Hydrogenimonas,4.4,22,3.85
Flavitalea,4.4,22,3.85
Acetoanaerobium,4.4,22,3.85
Algoriphagus,1.82,111,3.84
Ferrovum,3.625,29,3.84
Eisenbergiella,2.867,43,3.84
Marmoricola,3.625,29,3.84
Amaricoccus,3.625,29,3.84
Brevundimonas,1.368,234,3.83
Pedobacter,1.333,256,3.83
Ottowia,2.929,41,3.83
Thermoflexibacter,6.5,13,3.83
Dissulfurimicrobium,6.5,13,3.83
