file,taxon,rank,seq_count,avg_length,min_length,max_length,priority,expected_otu,lineage,genera_count
049_Stylonychinae_subfamily.fna,Stylonychinae,subfamily,607,1659.0,1200,3007,15.23,800,Stichotrichia > Sporadotrichida > Oxytrichidae,1
050_Psalteriomonadidae_family.fna,Psalteriomonadidae,family,74,1715.6,1210,7574,15.17,108,Heterolobosea > Tetramitia > Eutetramitia,1
051_Sternorrhyncha_suborder.fna,Sternorrhyncha,suborder,37,2111.4,1229,2600,14.92,54,Neoptera > Paraneoptera > Hemiptera,2
052_Bodonidae_family.fna,Bodonidae,family,20,1619.5,1209,2179,14.73,24,Kinetoplastea > Metakinetoplastina > Eubodonida,2
053_Protaspidae_family.fna,Protaspidae,family,3,1832.0,1387,2195,14.52,6,Cercozoa > Thecofilosea > Cryomonadida,2
054_Nepetoideae_subfamily.fna,Nepetoideae,subfamily,51,1614.6,1201,1775,14.49,79,lamiids > Lamiales > Lamiaceae,1
055_Chlorellaceae_family.fna,Chlorellaceae,family,26,1889.3,1585,2330,14.16,33,core chlorophytes > Trebouxiophyceae > Chlorellales,2
056_Poaceae_family.fna,Poaceae,family,344,1772.5,1207,9141,13.97,379,Petrosaviidae > commelinids > Poales,2
057_Flamellidae_family.fna,Flamellidae,family,35,1802.3,1242,6746,30.43,259,Amoebozoa > Evosea > Variosea,2
058_Bicosoecidae_family.fna,Bicosoecidae,family,44,1863.2,1224,4693,13.78,57,Bigyra > Opalozoa > Bicosoecida,1
059_Picomonadidae_family.fna,Picomonadidae,family,27,1682.2,1236,2559,13.54,51,Picozoa > Picomonadea > Picomonadida,1
060_Trypanosomatidae_family.fna,Trypanosomatidae,family,130,2100.0,1225,2790,13.51,144,Kinetoplastea > Metakinetoplastina > Trypanosomatida,3
061_Collophidiidae_family.fna,Collophidiidae,family,23,1657.5,1200,7090,13.12,42,Retaria > Polycystinea > Collodaria,1
062_Pseudocolliniidae_family.fna,Pseudocolliniidae,family,10,1612.8,1345,1721,13.01,40,Oligohymenophorea > Apostomatia > Apostomatida,1
063_Urotrichidae_family.fna,Urotrichidae,family,13,1819.2,1438,2203,12.9,38,Intramacronucleata > Prostomatea > Prorodontida,1
064_Acinetidae_family.fna,Acinetidae,family,18,1796.2,1273,2588,12.84,37,Phyllopharyngea > Suctoria > Endogenida,1
065_Amoebidae_family.fna,Amoebidae,family,20,1598.8,1209,2398,12.72,35,Tubulinea > Elardia > Euamoebida,1
066_Anthoptilidae_family.fna,Anthoptilidae,family,28,1818.9,1217,7269,12.72,35,Octocorallia > Scleralcyonacea > Pennatuloidea,1
067_Pelobiontida_order.fna,Pelobiontida,order,14,1902.1,1255,3150,14.35,36,Amoebozoa > Evosea > Archamoebae,2
068_Tokophryidae_family.fna,Tokophryidae,family,24,1996.0,1207,3063,12.59,33,Phyllopharyngea > Suctoria > Endogenida,1
069_Gromiidae_family.fna,Gromiidae,family,31,1456.5,1421,1722,12.59,33,Rhizaria > Endomyxa > Gromiida,1
070_Acanthamoebidae_family.fna,Acanthamoebidae,family,83,2095.3,1234,3583,12.5,107,Discosea > Longamoebia > Centramoebida,2
071_Bdellidae_family.fna,Bdellidae,family,21,1965.7,1253,7322,12.46,31,Prostigmata > Eupodina > Bdelloidea,1
072_Hyalospheniidae_family.fna,Hyalospheniidae,family,20,1776.0,1204,3068,12.39,30,Elardia > Arcellinida > Glutinoconcha,1
073_Anomopoda_infraorder.fna,Anomopoda,infraorder,12,1790.7,1304,2285,12.33,16,Phyllopoda > Diplostraca > Cladocera,2
074_Funariaceae_family.fna,Funariaceae,family,13,1596.4,1228,2727,12.24,28,Bryopsida > Funariidae > Funariales,1
075_Paradiniida_order.fna,Paradiniida,order,19,1718.1,1286,2154,12.16,27,Rhizaria > Endomyxa > Ascetosporea,1
076_Pyloniidae_family.fna,Pyloniidae,family,20,1850.5,1202,7031,12.07,26,Retaria > Polycystinea > Spumellaria,1
077_Astasiidae_family.fna,Astasiidae,family,18,2320.9,1259,3330,12.07,26,Spirocuta > Aphagea > Rhabdomonadales,1
078_Dysteriidae_family.fna,Dysteriidae,family,17,1670.4,1282,1729,11.99,25,Phyllopharyngea > Phyllopharyngia > Dysteriida,1
079_Distigmidae_family.fna,Distigmidae,family,12,1904.8,1239,2342,11.9,24,Spirocuta > Aphagea > Rhabdomonadales,1
080_Xenospadicoidaceae_family.fna,Xenospadicoidaceae,family,17,1662.5,1229,2591,11.9,24,Sordariomycetes > Sordariomycetidae > Xenospadicoidales,1
081_Panicoideae_subfamily.fna,Panicoideae,subfamily,340,1777.4,1219,9141,11.67,372,Poales > Poaceae > PACMAD clade,1
082_Stylocephalidae_family.fna,Stylocephalidae,family,16,1785.2,1205,6198,11.51,20,Conoidasida > Gregarinasina > Eugregarinorida,1
083_Coccomyxidae_family.fna,Coccomyxidae,family,13,2084.1,1230,3433,11.51,20,Myxosporea > Bivalvulida > Variisporina,1
084_Spironemidae_family.fna,Spironemidae,family,7,1467.1,1213,1907,11.51,20,cellular organisms > Eukaryota > Hemimastigophora,1
085_Nibbleridae_family.fna,Nibbleridae,family,3,1696.0,1638,1801,11.51,3,Nibbleridia > Nibbleridea > Nibbleridida,2
086_Xcellidae_family.fna,Xcellidae,family,15,1333.8,1226,1846,11.39,19,Perkinsozoa > Perkinsea > Perkinsida,1
087_Diptilomiopidae_family.fna,Diptilomiopidae,family,4,1766.2,1220,2540,11.39,19,Prostigmata > Eupodina > Eriophyoidea,1
088_Apocrita_suborder.fna,Apocrita,suborder,200,1855.0,1204,7030,11.32,240,Neoptera > Endopterygota > Hymenoptera,2
089_Lagynidae_family.fna,Lagynidae,family,7,1896.9,1248,4293,11.28,18,Retaria > Foraminifera > Allogromida,1
090_Neovahlkampfiidae_family.fna,Neovahlkampfiidae,family,137,1587.5,1200,7127,11.05,211,Discoba > Heterolobosea > Tetramitia,1
091_Amphitraemidae_family.fna,Amphitraemidae,family,9,1373.8,1309,1447,11.02,16,Bigyra > Labyrinthulomycetes > Amphitremida,1
092_Dicranophoridae_family.fna,Dicranophoridae,family,6,1490.2,1204,2824,11.02,16,Monogononta > Pseudotrocha > Ploima,1
093_Paracalanidae_family.fna,Paracalanidae,family,7,2198.7,1230,7219,10.88,15,Neocopepoda > Gymnoplea > Calanoida,1
094_Bathycoccaceae_family.fna,Bathycoccaceae,family,277,1883.0,1227,9041,10.84,308,Chlorophyta > Mamiellophyceae > Mamiellales,2
095_Diaptomidae_family.fna,Diaptomidae,family,3,3661.7,1318,7755,10.73,14,Neocopepoda > Gymnoplea > Calanoida,1
096_Plagiostomidae_family.fna,Plagiostomidae,family,12,1769.0,1460,2025,10.4,12,Rhabditophora > Prolecithophora > Separata,1
097_Leidyanidae_family.fna,Leidyanidae,family,50,1987.1,1209,6522,10.38,76,Conoidasida > Gregarinasina > Eugregarinorida,2
098_Orobanchaceae_family.fna,Orobanchaceae,family,139,1635.8,1206,2085,10.27,160,asterids > lamiids > Lamiales,1
099_Tobrilidae_family.fna,Tobrilidae,family,8,1636.4,1236,1818,10.21,11,Triplonchida > Tobrilina > Tobriloidea,1
100_Nucleariidae_family.fna,Nucleariidae,family,10,1703.0,1260,2074,10.21,11,Eukaryota > Opisthokonta > Rotosphaerida,1
101_Chlamydomonadales_order.fna,Chlamydomonadales,order,21,1697.4,1218,3075,15.43,217,core chlorophytes > Chlorophyceae > CS clade,3
102_Reophacidae_family.fna,Reophacidae,family,6,1874.8,1209,2972,10.0,10,Retaria > Foraminifera > Lituolida,1
103_Vampyrellidae_family.fna,Vampyrellidae,family,3,1711.0,1566,1808,10.0,10,Rhizaria > Endomyxa > Vampyrellida,1
104_Evaginogenida_order.fna,Evaginogenida,order,6,2226.3,1473,3888,9.77,9,Intramacronucleata > Phyllopharyngea > Suctoria,1
105_Ventrifissuridae_family.fna,Ventrifissuridae,family,9,1250.0,1238,1262,9.77,9,Cercozoa > Thecofilosea > Ventricleftida,1
106_Astrorhizidae_family.fna,Astrorhizidae,family,1,3467.0,3467,3467,9.77,9,Foraminifera > Monothalamids > Astrorhizida,1
107_Panagrolaimidae_family.fna,Panagrolaimidae,family,4,1489.8,1218,1782,9.77,9,Tylenchina > Panagrolaimomorpha > Panagrolaimoidea,1
108_Nematocera_suborder.fna,Nematocera,suborder,65,1834.8,1219,2102,9.72,67,Neoptera > Endopterygota > Diptera,3
109_Tylenchomorpha_infraorder.fna,Tylenchomorpha,infraorder,193,1714.1,1201,7213,9.72,232,Chromadorea > Rhabditida > Tylenchina,2
110_Thaumatomastigidae_family.fna,Thaumatomastigidae,family,7,1239.7,1233,1246,9.52,8,Imbricatea > Silicofilosea > Thaumatomonadida,1
111_Microlaimidae_family.fna,Microlaimidae,family,6,1453.2,1227,1761,9.52,8,Desmodorida > Desmodorina > Microlaimoidea,1
112_Nygolaiminae_subfamily.fna,Nygolaiminae,subfamily,3,4150.3,1324,9395,9.52,8,Nygolaimina > Nygolaimoidea > Nygolaimidae,1
113_Salpingoecidae_family.fna,Salpingoecidae,family,83,1556.3,1210,3278,9.1,148,Opisthokonta > Choanoflagellata > Craspedida,1
114_Phaeosphaeriaceae_family.fna,Phaeosphaeriaceae,family,75,1701.9,1213,2925,8.92,172,Pleosporomycetidae > Pleosporales > Pleosporineae,1
115_Cryptodifflugiidae_family.fna,Cryptodifflugiidae,family,3,1451.7,1253,1731,8.89,6,Elardia > Arcellinida > Phryganellina,1
116_Gastropidae_family.fna,Gastropidae,family,1,1526.0,1526,1526,8.89,6,Monogononta > Pseudotrocha > Ploima,1
117_Apinae_subfamily.fna,Apinae,subfamily,199,1852.8,1204,7030,8.75,236,Apoidea > Anthophila > Apidae,1
118_Glomeraceae_family.fna,Glomeraceae,family,164,1646.1,1202,10543,8.53,236,Glomeromycotina > Glomeromycetes > Glomerales,1
119_Flabellulidae_family.fna,Flabellulidae,family,3,1315.7,1288,1353,8.49,5,Tubulinea > Elardia > Leptomyxida,1
120_Dacrymycetaceae_family.fna,Dacrymycetaceae,family,3,1234.0,1226,1238,8.49,5,Agaricomycotina > Dacrymycetes > Dacrymycetales,1
122_Centropagidae_family.fna,Centropagidae,family,1,7691.0,7691,7691,8.49,5,Neocopepoda > Gymnoplea > Calanoida,1
123_Metridinidae_family.fna,Metridinidae,family,2,7179.0,7117,7241,8.49,5,Neocopepoda > Gymnoplea > Calanoida,1
124_Penthaleidae_family.fna,Penthaleidae,family,2,1563.5,1255,1872,8.49,5,Prostigmata > Eupodina > Eupodoidea,1
125_Pterocystida_order.fna,Pterocystida,order,5,1330.2,1253,1401,8.49,5,Eukaryota > Haptista > Centroplasthelida,1
126_Rhabditina_suborder.fna,Rhabditina,suborder,110,1683.1,1212,2692,8.46,127,Nematoda > Chromadorea > Rhabditida,2
127_Sarcocystidae_family.fna,Sarcocystidae,family,70,1824.9,1231,3866,8.3,76,Coccidia > Eucoccidiorida > Eimeriorina,1
128_Cintractiaceae_family.fna,Cintractiaceae,family,23,1891.6,1205,3673,8.06,69,Ustilaginomycotina > Ustilaginomycetes > Ustilaginales,1
129_Culicinae_subfamily.fna,Culicinae,subfamily,63,1828.0,1219,2102,8.03,65,Culicomorpha > Culicoidea > Culicidae,2
130_Limnofilidae_family.fna,Limnofilidae,family,3,1319.7,1278,1348,8.01,4,Sar > Rhizaria > Cercozoa,1
131_Rhynchomonadidae_family.fna,Rhynchomonadidae,family,2,1587.5,1436,1739,8.01,4,Kinetoplastea > Metakinetoplastina > Neobodonida,1
132_Pontellidae_family.fna,Pontellidae,family,2,4317.5,1751,6884,8.01,4,Neocopepoda > Gymnoplea > Calanoida,1
133_Cyclopidae_family.fna,Cyclopidae,family,1,1577.0,1577,1577,8.01,4,Neocopepoda > Podoplea > Cyclopoida,1
134_Bosminidae_family.fna,Bosminidae,family,3,1751.7,1540,2082,8.01,4,Diplostraca > Cladocera > Anomopoda,1
135_Sididae_family.fna,Sididae,family,4,1670.5,1522,2113,8.01,4,Diplostraca > Cladocera > Ctenopoda,1
136_Parhypochthoniidae_family.fna,Parhypochthoniidae,family,4,1783.2,1712,1851,8.01,4,Oribatida > Parhyposomata > Parhypochthonioidea,1
137_Heteroderinae_subfamily.fna,Heteroderinae,subfamily,189,1724.2,1201,7213,7.92,228,Tylenchomorpha > Tylenchoidea > Heteroderidae,1
138_Eriophyidae_family.fna,Eriophyidae,family,5,1664.8,1213,2344,7.89,6,Prostigmata > Eupodina > Eriophyoidea,2
139_Blastocladiales_order.fna,Blastocladiales,order,21,1930.5,1306,2981,7.81,26,Fungi incertae sedis > Blastocladiomycota > Blastocladiomycetes,2
140_Thalassiosiraceae_family.fna,Thalassiosiraceae,family,264,1711.8,1200,3358,7.8,309,Coscinodiscophyceae > Thalassiosirophycidae > Thalassiosirales,1
141_Labyrinthulaceae_family.fna,Labyrinthulaceae,family,34,1747.3,1200,6643,7.8,62,Bigyra > Labyrinthulomycetes > Labyrinthulida,1
142_Vannellidae_family.fna,Vannellidae,family,8,1433.0,1246,1891,7.55,56,Amoebozoa > Discosea > Flabellinia,1
143_Malasseziaceae_family.fna,Malasseziaceae,family,263,1829.1,1200,9231,7.48,298,Ustilaginomycotina > Malasseziomycetes > Malasseziales,1
144_Hartmannulidae_family.fna,Hartmannulidae,family,2,1676.0,1235,2117,7.39,3,Phyllopharyngea > Phyllopharyngia > Dysteriida,1
145_Ceratiaceae_family.fna,Ceratiaceae,family,3,2671.7,1274,5290,7.39,3,Alveolata > Dinophyceae > Gonyaulacales,1
146_Adeleidae_family.fna,Adeleidae,family,3,1335.3,1299,1358,7.39,3,Alveolata > Apicomplexa > Adeleorina,1
147_Allapsidae_family.fna,Allapsidae,family,3,1384.7,1262,1544,7.39,3,Rhizaria > Cercozoa > Glissomonadida,1
148_Terebellidae_family.fna,Terebellidae,family,2,1700.0,1644,1756,7.39,3,Canalipalpata > Terebellida > Terebelliformia,1
149_Dunaliellaceae_family.fna,Dunaliellaceae,family,3,1980.3,1327,3075,7.39,3,Chlorophyceae > CS clade > Chlamydomonadales,1
150_Schistosomatidae_family.fna,Schistosomatidae,family,181,1875.4,1242,2062,7.1,190,Digenea > Strigeidida > Schistosomatoidea,1
151_Pycnoraceae_family.fna,Pycnoraceae,family,27,1690.3,1204,3100,7.09,46,leotiomyceta > Candelariomycetes > Candelariales,1
152_Mycosphaerellales_order.fna,Mycosphaerellales,order,26,1401.0,1204,1820,6.98,45,dothideomyceta > Dothideomycetes > Dothideomycetidae,2
153_Murinae_subfamily.fna,Murinae,subfamily,52,1394.2,1217,1851,6.8,58,Myomorpha > Muroidea > Muridae,1
154_Herpotrichiellaceae_family.fna,Herpotrichiellaceae,family,37,2249.8,1206,4147,6.74,63,Eurotiomycetes > Chaetothyriomycetidae > Chaetothyriales,2
155_Chlorociboriaceae_family.fna,Chlorociboriaceae,family,45,1679.9,1205,2524,6.73,56,sordariomyceta > Leotiomycetes > Helotiales,1
156_Selenastraceae_family.fna,Selenastraceae,family,3,2905.3,1515,3829,6.69,3,Chlorophyceae > CS clade > Sphaeropleales,2
157_Corynesporascaceae_family.fna,Corynesporascaceae,family,15,1447.7,1228,1802,6.68,55,Dothideomycetes > Pleosporomycetidae > Pleosporales,1
158_Leishmaniinae_subfamily.fna,Leishmaniinae,subfamily,48,2070.0,1275,2233,6.6,53,Metakinetoplastina > Trypanosomatida > Trypanosomatidae,1
159_Spizellomycetaceae_family.fna,Spizellomycetaceae,family,23,1667.0,1234,2620,6.56,52,Chytridiomycota incertae sedis > Chytridiomycetes > Spizellomycetales,1
160_Pelagomonadaceae_family.fna,Pelagomonadaceae,family,23,1758.7,1211,2719,6.53,36,Ochrophyta > Pelagophyceae > Pelagomonadales,1
161_Limulidae_family.fna,Limulidae,family,33,1795.4,1232,2366,6.53,36,Chelicerata > Merostomata > Xiphosura,1
162_Papilionoideae_subfamily.fna,Papilionoideae,subfamily,64,1723.8,1217,10026,6.53,85,fabids > Fabales > Fabaceae,1
163_Phryganellidae_family.fna,Phryganellidae,family,2,1470.5,1438,1503,6.51,2,Elardia > Arcellinida > Phryganellina,1
164_Peridiniaceae_family.fna,Peridiniaceae,family,2,4825.5,4721,4930,6.51,2,Alveolata > Dinophyceae > Peridiniales,1
165_Lipotrophidae_family.fna,Lipotrophidae,family,2,1789.0,1785,1793,6.51,2,Conoidasida > Gregarinasina > Neogregarinorida,1
166_Sphaerozoidae_family.fna,Sphaerozoidae,family,2,1797.0,1790,1804,6.51,2,Retaria > Polycystinea > Collodaria,1
167_Acrogenosporaceae_family.fna,Acrogenosporaceae,family,2,1872.0,1865,1879,6.51,2,Dothideomycetes > Dothideomycetes incertae sedis > Minutisphaerales,1
168_Alaimidae_family.fna,Alaimidae,family,1,1801.0,1801,1801,6.51,2,Enoplia > Enoplida > Alaimina,1
169_Theileriidae_family.fna,Theileriidae,family,89,1650.3,1238,1977,6.49,101,Apicomplexa > Aconoidasida > Piroplasmida,1
170_Aphidinae_subfamily.fna,Aphidinae,subfamily,37,2111.4,1229,2600,6.43,49,Aphidomorpha > Aphidoidea > Aphididae,1
171_Pythiaceae_family.fna,Pythiaceae,family,182,1455.4,1200,11557,6.32,302,Stramenopiles > Oomycota > Pythiales,1
172_Gregarinidae_family.fna,Gregarinidae,family,14,1829.6,1201,6712,11.82,54,Conoidasida > Gregarinasina > Eugregarinorida,2
173_Ulvaceae_family.fna,Ulvaceae,family,38,2029.1,1220,3653,5.86,55,Ulvophyceae > OUU clade > Ulvales,1
174_Rhizopodaceae_family.fna,Rhizopodaceae,family,56,1730.0,1225,1873,5.6,67,Mucoromycetes > Mucorales > Mucorineae,1
175_Ectocarpaceae_family.fna,Ectocarpaceae,family,63,1795.7,1234,3405,5.58,77,PX clade > Phaeophyceae > Ectocarpales,1
176_Legeriomycetaceae_family.fna,Legeriomycetaceae,family,60,1713.3,1298,2013,5.56,60,Kickxellomycotina > Harpellomycetes > Harpellales,1
177_Neodiplogasteridae_family.fna,Neodiplogasteridae,family,58,1655.8,1212,1787,5.53,70,Rhabditina > Diplogasteromorpha > Diplogasteroidea,1
178_Danioninae_subfamily.fna,Danioninae,subfamily,62,1790.3,1247,2180,5.37,65,Cypriniformes > Cyprinoidei > Danionidae,1
179_Ophryoglenina_suborder.fna,Ophryoglenina,suborder,14,1683.6,1216,1829,5.19,19,Intramacronucleata > Oligohymenophorea > Hymenostomatida,1
180_Parameciidae_family.fna,Parameciidae,family,51,1851.4,1213,7566,5.1,65,Intramacronucleata > Oligohymenophorea > Peniculida,1
181_Chaetomiaceae_family.fna,Chaetomiaceae,family,19,1874.2,1243,7859,5.03,25,Sordariomycetes > Sordariomycetidae > Sordariales,1
182_Echinamoebidae_family.fna,Echinamoebidae,family,1,1274.0,1274,1274,5.0,1,Amoebozoa > Tubulinea > Echinamoebida,1
183_Epistylidae_family.fna,Epistylidae,family,1,2174.0,2174,2174,5.0,1,Oligohymenophorea > Peritrichia > Sessilida,1
184_Massisteriidae_family.fna,Massisteriidae,family,1,1514.0,1514,1514,5.0,1,Rhizaria > Cercozoa > Granofilosea,1
185_Haliphthoraceae_family.fna,Haliphthoraceae,family,1,1388.0,1388,1388,5.0,1,Stramenopiles > Oomycota > Lagenidiales,1
186_Massariaceae_family.fna,Massariaceae,family,1,3973.0,3973,3973,5.0,1,Dothideomycetes > Pleosporomycetidae > Pleosporales,1
187_Leptodoridae_family.fna,Leptodoridae,family,1,1736.0,1736,1736,5.0,1,Diplostraca > Cladocera > Haplopoda,1
188_Nothopodinae_subfamily.fna,Nothopodinae,subfamily,1,2344.0,2344,2344,5.0,1,Eupodina > Eriophyoidea > Eriophyidae,1
189_Nebulidae_family.fna,Nebulidae,family,1,1805.0,1805,1805,5.0,1,Nebulidia > Nebulidea > Nebulidida,1
190_Paulinellidae_family.fna,Paulinellidae,family,10,1678.3,1347,2276,4.97,17,Imbricatea > Silicofilosea > Euglyphida,1
191_Conidae_family.fna,Conidae,family,31,1882.5,1209,2094,4.97,45,Caenogastropoda > Neogastropoda > Conoidea,1
192_Hyaloscyphaceae_family.fna,Hyaloscyphaceae,family,26,1687.8,1310,2504,4.95,40,sordariomyceta > Leotiomycetes > Helotiales,1
193_Comesomatidae_family.fna,Comesomatidae,family,5,1441.8,1202,1803,4.86,16,Chromadorea > Araeolaimida > Axonolaimoidea,1
194_Blastocystidae_family.fna,Blastocystidae,family,48,1972.0,1244,11719,4.8,72,Bigyra > Opalozoa > Opalinata,1
195_Phaeodactylaceae_family.fna,Phaeodactylaceae,family,14,1584.6,1305,1787,4.74,15,Bacillariophyceae > Bacillariophycidae > Naviculales,1
196_Monodopsidaceae_family.fna,Monodopsidaceae,family,33,1503.5,1231,2031,4.7,39,Ochrophyta > Eustigmatophyceae > Eustigmatales,1
197_Edwardsiidae_family.fna,Edwardsiidae,family,12,2010.1,1218,5136,4.61,14,Anthozoa > Hexacorallia > Actiniaria,1
198_Eimeriidae_family.fna,Eimeriidae,family,68,1630.8,1222,1818,4.54,68,Coccidia > Eucoccidiorida > Eimeriorina,1
199_Nectriaceae_family.fna,Nectriaceae,family,93,1934.8,1225,8054,4.54,466,Sordariomycetes > Hypocreomycetidae > Hypocreales,1
